date,us_oneq_spy_z252,china_510300_510210_z252,gold_cny,money511990_cny,sp500,spy_tr,nasdaq,oneq_tr,shanghai_composite,etf510210_cny,csi300,etf510300_cny,gross
2002-09-06,,,0.3477688416,0.0000000000,0.0000000000,0.0000000000,0.0117619155,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3595307570
2002-12-05,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2002-12-09,,,0.6930061213,0.0000000000,0.0000000000,0.0000000000,0.0127644098,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7057705312
2003-03-04,,,0.3637492549,0.0000000000,0.0000000000,0.0000000000,0.0115599540,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3753092089
2003-03-10,,,0.3303110819,0.0000000000,0.0000000000,0.0000000000,0.0087124068,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3390234888
2003-04-30,,,0.4202247282,0.0000000000,0.0000000000,0.0000013772,0.1890384530,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.6092645585
2003-06-09,,,0.6263309311,0.0000000000,0.0000000000,0.0000015944,0.3736674745,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2003-08-19,,,0.2720835926,0.0000000000,0.0000000000,0.3230519336,0.4048644739,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2003-09-05,,,0.1913981974,0.0000000000,0.0000000000,0.2481713769,0.4411054763,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8806750506
2003-11-12,,,0.3158856209,0.0000000000,0.0000000000,0.3592005221,0.0000000000,0.3249138570,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2004-02-05,,,0.1826282690,0.0000000000,0.0000000000,0.3100840684,0.0000000000,0.2321046477,0.0210982244,0.0000000000,0.0183848001,0.0000000000,0.7643000097
2004-02-19,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2004-04-29,,,0.2212689466,0.0000000000,0.0000000000,0.2193765466,0.0000000000,0.1810382290,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.6216837222
2004-06-08,,,0.1493319003,0.0000000000,0.0000000000,0.2308229185,0.0000000000,0.1879702241,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5681250428
2004-06-10,,,0.1399613934,0.0000000000,0.0000000000,0.3774698466,0.0000000000,0.1899650362,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7073962762
