date,total_return_index,equity_return_percent,unit_nav
2012-05-04,100.0,0.0,1.007
2012-05-11,97.1394,-2.8606,2.637
2012-05-18,94.81864259459999,-2.3891,2.574
2012-05-21,95.33436119167202,0.5439,2.588
2012-05-25,94.81860229762506,-0.541,2.574
2012-05-28,96.32896781362393,1.5929,2.615
2012-05-29,97.6919263792189,1.4149,2.652
2012-05-30,97.36035998108783,-0.3394,2.643
2012-05-31,97.06565017142508,-0.3027,2.635
2012-06-01,97.10253511849022,0.038,2.636
2012-06-04,94.41347461345387,-2.7693,2.563
2012-06-05,94.41347461345387,0.0,2.563
2012-06-06,94.37665335835463,-0.039,2.562
2012-06-07,93.9345931140241,-0.4684,2.55
2012-06-08,93.3083311817329,-0.6667,2.533
2012-06-11,94.59766570200209,1.3818,2.568
2012-06-12,93.97142915505484,-0.662,2.551
2012-06-13,95.48173796443488,1.6072,2.592
2012-06-14,94.81871277600986,-0.6944,2.574
2012-06-15,95.15029381458757,0.3497,2.583
2012-06-18,95.62918524335639,0.5033,2.596
2012-06-19,94.81872789841894,-0.8475,2.574
2012-06-20,94.6713795952648,-0.1554,2.57
2012-06-21,93.23474140990665,-1.5175,2.531
2012-06-25,91.2824059247832,-2.094,2.478
2012-06-26,91.39294891835813,0.1211,2.481
2012-06-27,91.09820665809642,-0.3225,2.473
2012-06-28,90.32460068715586,-0.8492,2.452
2012-06-29,91.61389403736432,1.4274,2.487
2012-06-30,91.61389403736432,0.0,2.487
2012-07-02,91.79803796437943,0.201,2.492
2012-07-03,91.90856280208854,0.1204,2.495
2012-07-04,91.79808870960042,-0.1202,2.492
2012-07-05,90.61930945248044,-1.2841,2.46
2012-07-06,92.20333498170979,1.748,2.503
2012-07-09,90.140469768164,-2.2373,2.447
2012-07-10,89.8089331203567,-0.3678,2.438
2012-07-11,90.50881413616364,0.7793,2.457
2012-07-12,91.39290423264568,0.9768,2.481
2012-07-13,91.4665669134572,0.0806,2.483
2012-07-16,89.62470465552092,-2.0137,2.433
2012-07-17,90.14040520610878,0.5754,2.447
2012-07-18,90.14040520610878,0.0,2.447
2012-07-19,90.54558632751024,0.4495,2.458
2012-07-20,89.58779511533784,-1.0578,2.432
2012-07-23,88.37217832341781,-1.3569,2.399
2012-07-24,88.74051356266982,0.4168,2.409
2012-07-25,88.15109907158656,-0.6642,2.393
2012-07-26,87.70902130974255,-0.5015,2.381
2012-07-27,87.78269688764273,0.084,2.383
2012-07-30,87.30384227612063,-0.5455,2.37
2012-07-31,87.19331561179906,-0.1266,2.367
2012-08-01,88.15104699047907,1.0984,2.393
2012-08-02,87.30382727785357,-0.9611,2.37
2012-08-03,88.04058427625138,0.8439,2.39
2012-08-06,89.21935965912611,1.3389,2.422
2012-08-07,89.32990244574377,0.1239,2.425
2012-08-08,89.40359961526151,0.0825,2.427
2012-08-09,90.21404324577387,0.9065,2.449
2012-08-10,89.77199443386957,-0.49,2.437
2012-08-13,88.00384523150007,-1.9696,2.389
2012-08-14,88.2249108907216,0.2512,2.395
2012-08-15,87.26714125809193,-1.0856,2.369
2012-08-16,86.82513318761968,-0.5065,2.357
2012-08-17,86.604076398524,-0.2546,2.351
2012-08-20,86.16204919258594,-0.5104,2.339
2012-08-21,86.60406050494392,0.513,2.351
2012-08-22,85.94101981771807,-0.7656,2.333
2012-08-23,86.16206012068925,0.2572,2.339
2012-08-24,85.16749146071614,-1.1543,2.312
2012-08-27,83.39932917050021,-2.0761,2.264
2012-08-28,83.7677040074463,0.4417,2.274
2012-08-29,82.92047744911498,-1.0114,2.251
2012-08-30,82.7731277606879,-0.1777,2.247
2012-08-31,82.51528946771336,-0.3115,2.24
2012-09-03,83.43624261346251,1.1161,2.265
2012-09-04,82.55215218673025,-1.0596,2.241
2012-09-05,82.36797833520166,-0.2231,2.236
2012-09-06,83.06785904711586,0.8497,2.255
2012-09-07,86.75158632441926,4.4346,2.355
2012-09-10,87.0831508873512,0.3822,2.364
2012-09-11,86.53060829497095,-0.6345,2.349
2012-09-12,86.86210705534897,0.3831,2.358
2012-09-13,86.05168359652257,-0.933,2.336
2012-09-14,86.67788169805446,0.7277,2.353
2012-09-17,84.57819669180078,-2.4224,2.296
2012-09-18,83.69410080178139,-1.0453,2.272
2012-09-19,84.09934763786362,0.4842,2.283
2012-09-20,82.22065231098138,-2.2339,2.232
2012-09-21,82.33115686768734,0.1344,2.235
2012-09-24,82.95736764682297,0.7606,2.252
2012-09-25,82.73636921941184,-0.2664,2.246
2012-09-26,81.81543069363057,-1.1131,2.221
2012-09-27,84.28355679136533,3.0167,2.288
2012-09-28,85.83075004338441,1.8357,2.33
2012-09-30,85.83075004338441,0.0,2.33
2012-10-08,84.94669331793756,-1.03,2.306
2012-10-09,86.82537438735707,2.2116,2.357
2012-10-10,86.97271704769243,0.1697,2.361
2012-10-11,86.16230527024203,-0.9318,2.339
2012-10-12,86.23597404124808,0.0855,2.341
2012-10-15,85.86757396014387,-0.4272,2.331
2012-10-16,85.97808552783059,0.1287,2.334
2012-10-17,86.08856736773384,0.1285,2.337
2012-10-18,87.41467565946641,1.5404,2.373
2012-10-19,87.26729451630456,-0.1686,2.369
2012-10-22,87.59882296817202,0.3799,2.378
2012-10-23,86.49367621760557,-1.2616,2.348
2012-10-24,86.34629099333077,-0.1704,2.344
2012-10-25,85.72002134475615,-0.7253,2.327
2012-10-26,84.0992271811695,-1.8908,2.283
2012-10-29,83.65720164310527,-0.5256,2.271
2012-10-30,83.80452197519877,0.1761,2.275
2012-10-31,84.35704518858125,0.6593,2.29
2012-11-01,85.97788145483466,1.9214,2.334
2012-11-02,86.30941216572451,0.3856,2.343
2012-11-05,86.12522788016285,-0.2134,2.338
2012-11-06,85.7568702805194,-0.4277,2.328
2012-11-07,85.57266452315683,-0.2148,2.323
2012-11-08,84.02551074857816,-1.808,2.281
2012-11-09,83.84132682901728,-0.2192,2.276
2012-11-12,84.24653196158192,0.4833,2.287
2012-11-13,82.77306011757385,-1.749,2.247
2012-11-14,83.17823424684939,0.4895,2.258
2012-11-15,82.07312822664574,-1.3286,2.228
2012-11-16,81.48376109285019,-0.7181,2.212
2012-11-19,81.37326911280829,-0.1356,2.209
2012-11-20,81.0048923235346,-0.4527,2.199
2012-11-21,82.11004206950459,1.3643,2.229
2012-11-22,81.48378877864047,-0.7627,2.212
2012-11-23,82.03633035034842,0.6781,2.227
2012-11-26,81.37323069212655,-0.8083,2.209
2012-11-27,80.45232984038375,-1.1317,2.184
2012-11-28,79.64193352190156,-1.0073,2.162
2012-11-29,79.16304657563437,-0.6013,2.149
2012-11-30,80.04713947979106,1.1168,2.173
2012-12-03,78.90518698797236,-1.4266,2.142
