date,per_hundred_income,total_return_index
2012-12-27,1.1902000000,100.011902000000
2012-12-29,2.3977000000,100.035881853743
2012-12-30,1.1984000000,100.047870153824
2013-01-02,3.5807000000,100.083694294690
2013-01-03,1.1930000000,100.095634279419
2013-01-10,1.1242000000,100.106887030625
2013-01-17,1.1551000000,100.118450377146
2013-01-24,2.3248000000,100.141725914490
2013-01-26,1.1159000000,100.152900729684
2013-01-27,0.5431000000,100.158340033723
2013-01-28,0.6646000000,100.164996557002
2013-01-29,0.9292000000,100.174303888482
2013-01-30,0.8550000000,100.182868791464
2013-01-31,0.7129000000,100.190010828180
2013-02-02,1.3842000000,100.203879129479
2013-02-03,0.6947000000,100.210840292962
2013-02-04,0.7611000000,100.218467340017
2013-02-05,0.7077000000,100.225559800951
2013-02-06,0.7400000000,100.232976492376
2013-02-07,0.7793000000,100.240787648234
2013-02-16,7.0333000000,100.311290001410
2013-02-17,0.7809000000,100.319123310047
2013-02-18,1.8630000000,100.337812762719
2013-02-19,0.8296000000,100.346136787666
2013-02-20,0.8084000000,100.354248769364
2013-02-21,0.8029000000,100.362306211998
2013-02-23,1.6073000000,100.378437445475
2013-02-24,1.5080000000,100.393574513842
2013-02-25,0.8072000000,100.401678283177
2013-02-26,0.8251000000,100.409962425652
2013-02-27,0.8220000000,100.418216124563
2013-02-28,0.8181000000,100.426431338824
2013-03-02,1.6474000000,100.442975589123
2013-03-03,0.8244000000,100.451256108031
2013-03-04,1.4242000000,100.465562375926
2013-03-05,1.3990000000,100.479617508102
2013-03-06,0.8269000000,100.487926167674
2013-03-07,0.8680000000,100.496648519665
2013-03-09,1.7396000000,100.514130916642
2013-03-10,0.8506000000,100.522680648617
2013-03-11,1.2416000000,100.535161544647
2013-03-12,0.8235000000,100.543440615200
2013-03-13,0.8364000000,100.551850068573
2013-03-14,0.8393000000,100.560289385349
2013-03-16,1.6753000000,100.577136250630
2013-03-17,1.3758000000,100.590973653035
2013-03-18,0.8054000000,100.599075250053
2013-03-19,0.7708000000,100.606829426774
2013-03-20,0.7918000000,100.614795475528
2013-03-21,1.3273000000,100.628150077331
2013-03-23,1.5715000000,100.643963791116
2013-03-24,0.7898000000,100.651912651376
2013-03-25,0.7637000000,100.659599437945
2013-03-26,0.8271000000,100.667924993415
2013-03-27,0.8423000000,100.676404252737
2013-03-28,0.8257000000,100.684717103436
2013-03-30,1.6449000000,100.701278732552
2013-03-31,0.8161000000,100.709496963910
2013-04-01,0.8223000000,100.717778305845
2013-04-02,0.8244000000,100.726081479489
2013-04-06,3.3003000000,100.759324108159
2013-04-07,0.8247000000,100.767633729618
2013-04-08,0.9544000000,100.777250992582
2013-04-09,0.8254000000,100.785569146879
2013-04-10,0.8169000000,100.793802320022
2013-04-11,0.8196000000,100.802063380060
2013-04-13,1.6405000000,100.818599958558
2013-04-14,0.8202000000,100.826869100126
2013-04-15,0.8204000000,100.835140936467
2013-04-16,0.8230000000,100.843439668566
2013-04-17,0.8052000000,100.851559582329
2013-04-18,1.1394000000,100.863050609027
2013-04-20,1.6305000000,100.879496329429
2013-04-21,0.8578000000,100.888149772624
2013-04-22,0.8205000000,100.896427645313
2013-04-23,0.8240000000,100.904741510951
2013-04-24,0.8215000000,100.913030835466
2013-04-25,0.8274000000,100.921380379638
2013-04-30,4.1470000000,100.963232476081
2013-05-01,0.8321000000,100.971633626655
2013-05-02,0.8301000000,100.980015281963
2013-05-04,1.6589000000,100.996766856698
2013-05-05,0.8243000000,101.005092020190
2013-05-06,0.8274000000,101.013449181504
2013-05-07,0.8234000000,101.021766628909
2013-05-08,0.8128000000,101.029977678101
2013-05-09,0.8079000000,101.038139889997
2013-05-11,1.6120000000,101.054427238148
2013-05-12,0.8023000000,101.062534834845
2013-05-13,0.7998000000,101.070617816381
2013-05-14,0.7862000000,101.078563988354
