date,adjusted_close
2003-10-01,5.983092784881592
2003-10-02,6.011718273162842
2003-10-03,6.1499457359313965
2003-10-06,6.198204517364502
2003-10-07,6.246461868286133
2003-10-08,6.204747200012207
2003-10-09,6.2448248863220215
2003-10-10,6.275907516479492
2003-10-13,6.326618671417236
2003-10-14,6.360971927642822
2003-10-15,6.343793869018555
2003-10-16,6.3805999755859375
2003-10-17,6.257094383239746
2003-10-20,6.29472017288208
2003-10-21,6.34706449508667
2003-10-22,6.213743209838867
2003-10-23,6.176120281219482
2003-10-24,6.10414457321167
2003-10-27,6.147491931915283
2003-10-28,6.317620754241943
2003-10-29,6.3388872146606445
2003-10-30,6.328254222869873
2003-10-31,6.325799465179443
2003-11-03,6.440309047698975
2003-11-04,6.4084086418151855
2003-11-05,6.420678615570068
2003-11-06,6.462391376495361
2003-11-07,6.4501237869262695
2003-11-10,6.348702430725098
2003-11-11,6.312711238861084
2003-11-12,6.450942516326904
2003-11-13,6.437856197357178
2003-11-14,6.3151679039001465
2003-11-17,6.239099979400635
2003-11-18,6.158944129943848
2003-11-19,6.213743209838867
2003-11-20,6.157309532165527
2003-11-21,6.193296432495117
2003-11-24,6.369150638580322
2003-11-25,6.362604141235352
2003-11-26,6.392868518829346
2003-11-28,6.40350341796875
2003-12-01,6.500835418701172
2003-12-02,6.473841667175293
2003-12-03,6.421494960784912
2003-12-04,6.441944122314453
2003-12-05,6.345430374145508
2003-12-08,6.3658766746521
2003-12-09,6.235828876495361
2003-12-10,6.227649211883545
2003-12-11,6.348702430725098
2003-12-12,6.376510143280029
2003-12-15,6.281631946563721
2003-12-16,6.297990798950195
2003-12-17,6.279177665710449
2003-12-18,6.38796329498291
2003-12-19,6.379775047302246
2003-12-22,6.38960075378418
2003-12-23,6.454275131225586
2003-12-24,6.4403557777404785
2003-12-26,6.451818943023682
2003-12-29,6.5631537437438965
2003-12-30,6.56479024887085
2003-12-31,6.533683776855469
2004-01-02,6.554149150848389
2004-01-05,6.692502498626709
2004-01-06,6.735071182250977
2004-01-07,6.789102077484131
2004-01-08,6.852957725524902
2004-01-09,6.827579498291016
2004-01-12,6.913537979125977
2004-01-13,6.848048686981201
2004-01-14,6.8938889503479
2004-01-15,6.896347522735596
2004-01-16,6.9954023361206055
2004-01-20,7.028148174285889
2004-01-21,6.9913105964660645
2004-01-22,6.929914474487305
2004-01-23,6.930729389190674
2004-01-26,7.028148174285889
2004-01-27,6.91517448425293
2004-01-28,6.791557312011719
2004-01-29,6.753900051116943
2004-01-30,6.740801811218262
2004-02-02,6.730159282684326
2004-02-03,6.744077682495117
2004-02-04,6.576253414154053
2004-02-05,6.602449417114258
2004-02-06,6.740801811218262
2004-02-09,6.735071182250977
2004-02-10,6.766180038452148
2004-02-11,6.81939172744751
2004-02-12,6.771910190582275
2004-02-13,6.711330890655518
2004-02-17,6.790741443634033
2004-02-18,6.780916690826416
2004-02-19,6.688407897949219
2004-02-20,6.666304111480713
2004-02-23,6.5533294677734375
2004-02-24,6.557426452636719
2004-02-25,6.6057233810424805
2004-02-26,6.639288902282715
2004-02-27,6.618823528289795
2004-03-01,6.716242790222168
2004-03-02,6.664666652679443
2004-03-03,6.64993143081665
2004-03-04,6.708873748779297
2004-03-05,6.690866470336914
2004-03-08,6.563973903656006
2004-03-09,6.518945217132568
2004-03-10,6.4239821434021
2004-03-11,6.352759838104248
2004-03-12,6.472282409667969
2004-03-15,6.335567474365234
2004-03-16,6.351119518280029
2004-03-17,6.455090045928955
