date,signal_date,gross_decrease,us_decrease,turnover,edge20,edge60,mom_nasdaq_20,mom_nasdaq_60,dd_nasdaq_60,vol_nasdaq_20,mom_gold_20,mom_gold_60,breadth_20,rel_us_gold_20,vix_level,chg_vix_5,vix_term_ratio,chg_real10_20
2002-12-05,2002-12-04,0.333365,0.0109059124,0.333365,-0.029518681829036515,-0.028172181226208154,0.008005694190938328,0.08734653540614112,-0.0387045176552816,0.021599219392726427,0.014815468222711514,0.01773704109885288,0.4,-0.014163058470274381,28.92,1.6700000000000017,,
2003-03-04,2003-03-03,0.4136532,0.003947591300000001,0.4136532,0.01747201825254991,-0.02201500598021916,-0.0026439238852102864,-0.07181322235032916,-0.09630456060616666,0.013916298390105636,-0.05820687544684189,0.07019384771565274,0.4,0.04205903476144257,30.43,-1.5500000000000007,,-0.43000000000000016
2003-03-10,2003-03-07,0.0419436,0.0024959243999999993,0.041943599999999984,0.0030349116962688537,-0.002306045696066847,0.017793788548664313,-0.06735021971347888,-0.10657157133176498,0.013470062344191054,-0.05158977211243709,0.05855238832853282,0.2,0.06000455861158055,31.08,1.4499999999999993,,-0.34999999999999987
2003-09-05,2003-09-04,0.14330768410000005,0.05741009150000001,0.19176512829999998,-0.0005332241229326858,-0.007993206104022134,0.13121451657809513,0.1302294360252012,0.0,0.007423532727906583,0.057872324693382104,0.055476965386987986,0.6,0.035375265382304066,18.71,0.23000000000000043,,0.029999999999999805
2004-02-05,2004-02-04,0.3277337089,0.20721369529999994,0.39719100609999997,-0.00659284473550727,0.0010059449566562186,-0.02101226322926586,0.03733956861210053,-0.06485655785275335,0.01111237773752882,-0.05154940139955466,0.03601976201064461,0.6,0.04231143570552204,17.87,1.0899999999999999,,-0.1499999999999999
2004-02-19,2004-02-18,0.6722662911,0.4769006838,0.6722662911,0.0068126501677909694,0.03367870674240766,-0.030796518005087425,0.06642049364709379,-0.03591741223773581,0.011470991877309274,0.0029067788357228785,0.051856562235905734,0.8,-0.016475163838161666,15.59,0.1999999999999993,,-0.040000000000000036
2004-06-08,2004-06-07,0.09130368719999998,0.019404359700000012,0.09130368720000002,-0.0007460599566220917,-0.0033094588034970063,0.06584731348196127,0.04223655672839177,-0.02896564450332295,0.013337831550612467,0.04089727351443617,-0.014092563143635939,0.6,0.01661886014473246,15.39,-0.10999999999999943,,-0.14000000000000012
2004-07-05,2004-07-02,0.33218874049999997,0.2939813463,0.3321887405,0.005080969341243934,0.0046533647235940424,0.012760553848550238,-0.022360912746915207,-0.028324781919884745,0.00901167646138956,0.018918292446545193,-0.05147527873137048,0.6,-0.011952561323754107,15.08,-0.10999999999999943,,-0.1499999999999999
2004-12-07,2004-12-06,0.09747707220000001,-0.008542867400000015,0.11456280700000002,0.004277908486326922,0.0030980260213839482,0.05555994276375342,0.126942874750807,0.0,0.007814801081205025,0.04968799568537485,0.12395220342919155,1.0,-0.010714002899995578,13.19,-0.11000000000000121,,-0.020000000000000018
2005-03-31,2005-03-30,0.27585333049999994,-0.09800562089999999,0.5580674679,-0.012032536820570034,-0.016335209921044813,-0.02990568319225917,-0.040918306841870145,-0.04765816413743107,0.006867582572067318,-0.01571164074682585,-0.001406509258416122,0.0,-0.011087525059273684,13.64,-0.41999999999999993,,0.19999999999999996
2005-06-09,2005-06-08,0.5963294533,0.4068505391,0.5963294533000001,-0.00523884645949505,-0.011439657041191289,0.04495447744160708,0.02198221129704847,-0.01793307274287559,0.006348249462448978,-0.005852073251898848,-0.04282177807463561,0.6,0.038388145045600175,12.7,0.33999999999999986,,-0.010000000000000009
2005-09-07,2005-09-06,0.1183254863,0.12353095670000001,0.1287364271,0.0028476002451428765,-0.003465807272949242,-0.005306728292100882,0.023839410972352093,-0.032078162965665125,0.00664271144266058,0.020824039770459102,0.015462997009658697,0.6,-0.0236337836771236,12.93,-0.7200000000000006,,-0.3700000000000001
2006-05-29,2006-05-26,0.6305449162000001,0.016228356200000016,0.997298812,0.018170631832545303,0.018044808574825898,-0.04769782569706238,-0.042010602615396686,-0.06667603825901902,0.008738057412787902,4.292649802506432e-06,0.1471802390938144,0.6,-0.035156523338724655,14.26,-2.92,,0.04999999999999982
2008-01-09,2008-01-08,0.30336248199999993,0.006776552599999996,0.30336248199999993,-0.005841693353373849,0.004180749446302843,-0.11829729768007291,-0.15293567365889726,-0.16914393446185882,0.014770809196686227,0.06753648950789937,0.12067668860996883,0.6,-0.17628426506156308,25.43,2.9299999999999997,0.9976461357395058,-0.31999999999999984
2008-01-10,2008-01-09,0.17445416070000008,0.0114436551,0.1744541607,-0.0012580131433606453,0.003243217223474975,-0.08201485662338659,-0.13517887791439542,-0.15781830061809132,0.014594014018995375,0.06675218880025158,0.12274111979213331,0.6,-0.13860095540983025,24.12,0.9499999999999993,0.9844897959183674,-0.16999999999999993
2008-03-07,2008-03-06,0.21657885159999996,0.0938077773,0.2165788516,0.0018505945989657265,0.0005036223511951914,-0.04303957076252429,-0.19925846513160705,-0.21175883365689652,0.012566816840458279,0.06351073320883227,0.15498511041372964,0.2,-0.10295887683073418,27.55,4.02,1.0203703703703704,-0.3999999999999999
2008-06-06,2008-06-05,0.30560450570000003,0.0132193454,0.30560450570000003,-0.01089100168174649,0.022555242066373278,0.03155051057084646,0.1036978237611359,-0.0005233683014854718,0.010679271798311407,-0.01915861944764463,-0.14218192627916137,0.2,0.033004809731553675,18.63,0.48999999999999844,0.8837760910815939,0.19999999999999996
2009-06-01,2009-05-29,0.15067143269999994,-0.06709628710000001,0.3675409383,-0.031994139559235045,-0.028931793152382417,0.03283536797007325,0.38319818648320747,0.0,0.017393238474655334,0.10417400958480827,0.03717572315778539,1.0,-0.06365198606766187,28.92,-3.710000000000001,0.9503779165297405,-0.13000000000000012
2009-06-08,2009-06-05,0.10985971890000001,-0.13358415799999998,0.37702803490000003,-0.021522576712725006,0.012845399916623142,0.06524030627143773,0.29306043532823245,-0.00034481311422274175,0.016678032161441512,0.05350373443283818,0.033490497496347915,1.0,-0.014210492716208667,29.62,0.6999999999999993,0.9373417721518987,0.10999999999999988
2010-01-11,2010-01-08,1.0,0.4267028874,1.0,0.06635238688070186,-0.025022705481469093,0.05790429616654702,0.07447288970124455,0.0,0.007537010712329182,0.016749924220418988,0.08335729327941066,0.6,0.0296028104121121,18.13,-3.5500000000000007,0.8633333333333333,0.0
2010-05-03,2010-04-30,0.7804157086,0.5569947593,0.7804157086,0.03952564371057621,0.041871342172368736,0.02422680854279058,0.15768031429215257,-0.027587259592041558,0.009900106115419624,0.04882298273351049,0.11064022323702227,0.6,-0.033146377258102655,22.05,5.43,0.9315589353612167,-0.3999999999999999
2011-01-07,2011-01-06,0.11167340820000005,-0.1662427649,0.44415893799999995,0.005279223927418647,-0.010105066932303295,0.031192204158431158,0.10865476049397738,0.0,0.005049716150974545,-0.025800188624781728,-0.013731198201000772,0.8,0.055752578912008244,17.4,-0.120000000000001,0.8550368550368549,-0.06000000000000005
2011-02-14,2011-02-11,0.07995561370000004,0.0005279748000000112,0.08254402290000003,-0.003282365794156544,-0.0044908278529671875,0.020113258877502815,0.10787768491270633,0.0,0.008829834829867749,-0.0035805192754918558,-0.0017305008235934949,0.8,0.027754657069371413,15.69,-0.2400000000000002,0.8784994400895857,0.3600000000000001
2011-07-28,2011-07-27,0.16961172000000002,0.06969384280000002,0.16961172000000002,-0.000718333171473079,0.004220106008033372,0.0057273188324376,-0.02998951367747682,-0.044574850946788036,0.012051230677647698,0.06628081567761179,0.057932626591160385,0.4,-0.06593395116781675,22.98,3.8900000000000006,1.0127809607756721,-0.17999999999999994
