event_type,horizon,factor,n,beta_sd,t,p,r2,spearman
all,5,factor_alignment,193,0.00023662958637598165,0.31396294554080967,0.7535491819485277,0.0011160077300198523,0.119951858675205
all,5,sale_top1,193,-9.019059899684526e-05,-0.11731496944393364,0.9066104630415253,0.00016212562232065242,-0.1052031247410374
all,5,sale_top2,193,-0.0011370359549703827,-1.314605045142828,0.1886426736684966,0.02576781000457884,-0.2379229889857644
all,5,buy_top2,193,-6.185596106745774e-05,-0.09982790399932394,0.920480954512688,7.625919764631117e-05,0.11567484248057108
all,20,factor_alignment,193,0.002809566521005429,1.539616014671033,0.12365397947318997,0.0347008768910505,0.21871085074626717
all,20,sale_top1,193,-0.00018563223658585667,-0.11126402533243945,0.911406981859073,0.0001514846423089633,-0.18617714797396223
all,20,sale_top2,193,-0.0017608435969153188,-0.9430187561819999,0.3456713092991085,0.013630236018184472,-0.19259638755189357
all,20,buy_top2,193,0.003819842302155537,2.0929008131178573,0.0363580096569125,0.0641435037626431,0.22947987849027074
all,60,factor_alignment,189,0.007142453363256008,1.8450736872049454,0.06502682026071183,0.06246633503651122,0.24834625725132442
all,60,sale_top1,189,-0.0027075131225501783,-1.1376972402878378,0.2552469261893552,0.008976196266065162,-0.18626890697493378
all,60,sale_top2,189,-0.0045115020598406235,-1.509231660402799,0.13123959199848353,0.02492260988572681,-0.2087052267887002
all,60,buy_top2,189,0.012476196715790151,3.0522557696317576,0.0022712847770719,0.1905968097720362,0.2590588002983464
derisk,5,factor_alignment,77,-0.0008489278232423934,-0.653607113049032,0.5133649603771862,0.012085953248925807,-0.027078184972921814
derisk,5,sale_top1,77,0.0008839505637211749,0.7638228909290816,0.4449727935791466,0.013103741857491857,0.06002624659208604
derisk,5,sale_top2,77,-0.000936808321846884,-0.7416881318133371,0.4582763121464723,0.01471773078899652,-0.13764405394679494
derisk,5,buy_top2,77,-0.0005842414944202301,-0.9192215763082676,0.3579796877755966,0.005724323533812137,-0.08780462130245296
derisk,20,factor_alignment,77,-0.0024573744054486673,-1.128820784452126,0.25897344292306823,0.020335563064662887,-0.11499027288500972
derisk,20,sale_top1,77,0.003632875116929749,1.3271389488330805,0.1844627232969604,0.04444413708791417,0.04295140938447372
derisk,20,sale_top2,77,0.001212721403449356,0.4146468348557073,0.6784004572834497,0.004952627055573311,0.00890104351150828
derisk,20,buy_top2,77,-0.0030771695009569676,-1.7032007957340276,0.08853049782331644,0.031887199533677135,-0.038095544711213625
derisk,60,factor_alignment,76,-0.0048237411219421164,-1.5231857974297027,0.1277122283294818,0.04729028400626922,-0.1081613123718387
derisk,60,sale_top1,76,0.0026864326565988863,0.7797920903905374,0.4355132627816972,0.014667491797392906,0.034973468109856014
derisk,60,sale_top2,76,0.0006098143618684001,0.13476050680866716,0.8928012319313408,0.0007557866811851444,-0.030793423778420592
derisk,60,buy_top2,76,-0.0037594047967346666,-2.5035342081680128,0.012295979322415688,0.028723814946880144,-0.24762317864949598
us_derisk,5,factor_alignment,48,-0.001354569492988985,-0.7479373892548884,0.4544979238351571,0.02439240170605661,-0.05188884064264004
us_derisk,5,sale_top1,48,0.001924042896358501,1.2115373643179062,0.2256895235540156,0.04921318621636672,0.17495128291973044
us_derisk,5,sale_top2,48,-0.0005642360807994243,-0.33319877944824755,0.7389842393996355,0.004232273169969214,-0.06524807334077257
us_derisk,5,buy_top2,48,0.0006499353475844105,0.8515869324480926,0.3944433949309406,0.005615549985520496,0.10647873545795095
us_derisk,20,factor_alignment,48,-0.0040419497767976344,-1.5909285059924754,0.11162566642285465,0.04759954324518534,-0.2542336083369518
us_derisk,20,sale_top1,48,0.007923770315084717,2.5078629361409126,0.012146377221585038,0.18292990802819298,0.2813199156062582
us_derisk,20,sale_top2,48,0.0010027139449202594,0.26442045659508884,0.791455950224858,0.002929375662948819,0.015524915952962523
