date,split,b_short,b_long,ic,top2_bottom2
2003-09-19,dev,0.19948690622802379,-0.013787446575298621,0.3,0.005339729149441141
2003-09-22,dev,0.19294308060915413,-0.0029039150854806846,0.3,0.01347699107657041
2003-09-23,dev,0.19294308060915413,-0.0029039150854806846,0.8,0.024077986639544136
2003-09-24,dev,0.19294308060915413,-0.0029039150854806846,-0.1,0.011082478295822262
2003-09-25,dev,0.18650150226557932,0.007809561224808846,-0.1,0.011541603074747775
2003-09-26,dev,0.18650150226557932,0.007809561224808846,0.6,0.023278319539886683
2003-09-29,dev,0.18015979335368787,0.01835693712718691,0.7,0.011740998092302668
2003-09-30,dev,0.18015979335368787,0.01835693712718691,0.0,0.03543641972141287
2003-10-01,dev,0.18015979335368787,0.01835693712718691,0.7,0.03553208815173009
2003-10-02,dev,0.18015979335368787,0.01835693712718691,0.7,0.04332441148325061
2003-10-03,dev,0.18015979335368787,0.01835693712718691,1.0,0.04795295255161014
2003-10-06,dev,0.17391564919428704,0.028742045707989928,0.6,0.02813426123377466
2003-10-07,dev,0.17218628104053393,0.035754460786956654,-0.4,0.0005298070858538173
2003-10-08,dev,0.17048311543456499,0.0426606271526057,0.8,0.018635337760663284
2003-10-09,dev,0.16880556134146774,0.049462941392455516,1.0,0.04118366938955759
2003-10-10,dev,0.16243976964253298,0.058913139394632795,0.9,0.07430253515168961
2003-10-13,dev,0.16084664854186703,0.06549428962913649,0.6,0.04320881652552827
2003-10-14,dev,0.1592769556926815,0.07197865824254453,0.5,0.026085124687481254
2003-10-15,dev,0.14889421955815943,0.08413094617700156,0.6,0.05983561407147708
2003-10-16,dev,0.14743388768493096,0.09038629019783946,0.6,0.039714547883870466
2003-10-17,dev,0.13728574536534985,0.10223129606161872,0.5,0.03685472704677656
2003-10-20,dev,0.12728257650747704,0.11390708755591543,0.5,0.017906137028656677
2003-10-21,dev,0.1260065895893576,0.11981816084312617,0.6,0.015941025754399374
2003-10-22,dev,0.11793888231663496,0.12822595893716107,0.6,0.05619294072417197
2003-10-23,dev,0.1099840101106637,0.13651616544946119,0.6,0.020778624938548096
2003-10-24,dev,0.10881173553064684,0.14210408423514712,0.8,0.03481902990349928
2003-10-27,dev,0.10806130976836652,0.1480206077921461,0.1,0.0015059074177153908
2003-10-28,dev,0.10074044933347709,0.15640778869499333,-0.9,-0.017307261139382968
2003-10-29,dev,0.10005514015433778,0.16214651122087773,-1.0,-0.02352330513817058
2003-10-30,dev,0.09937909191005172,0.16780768344235827,-0.9,-0.017056343439045163
2003-10-31,dev,0.10542352753481647,0.16668145737898676,-0.8,-0.021423958296210355
2003-11-03,dev,0.1043285471551726,0.17184475746704841,-0.6,-0.03434081349385831
2003-11-04,dev,0.0975345261312908,0.17564113681637714,-0.7,-0.014620219227132858
2003-11-05,dev,0.09998882684946728,0.1775815782537307,-0.7,-0.029993842028196882
2003-11-06,dev,0.10587125281777142,0.1764209143435756,-0.9,-0.0584776135700667
2003-11-07,dev,0.10843053039687679,0.17852207723744848,-1.0,-0.08083877529663436
2003-11-10,dev,0.10671230286630272,0.18280325908209652,-0.9,-0.03438590116368101
2003-11-11,dev,0.10467872197748364,0.18669217206368902,-0.9,-0.044890822974047895
2003-11-12,dev,0.10300627956462001,0.19086677773944827,-0.9,-0.10496960869738697
2003-11-13,dev,0.10135500730888126,0.19498854030538781,-0.9,-0.09320605318276587
2003-11-14,dev,0.0993934895535457,0.19872744058152075,-0.7,-0.07144187357393461
2003-11-17,dev,0.09745649077015181,0.20241960460420202,-0.7,-0.06978437092363787
2003-11-18,dev,0.10175473420766966,0.1998547231110736,-0.9,-0.07851907272459557
2003-11-19,dev,0.10632479920118956,0.19764639311136264,-0.6,-0.03814616705114282
2003-11-20,dev,0.11282996403226611,0.1943888487773461,-0.3,-0.00864635081719789
2003-11-21,dev,0.11823953742231327,0.19320355091894764,-0.8,-0.021577987279660205
2003-11-24,dev,0.1144926311349053,0.19506292333762068,-0.9,-0.030883685642233205
2003-11-25,dev,0.11729055123903871,0.18532728746462934,-0.4,-0.021288971244010635
2003-11-26,dev,0.11658821260886483,0.17822951927621838,-0.7,-0.03782455974795729
2003-11-27,dev,0.11934035044108025,0.16870998266398524,-1.0,-0.055711791744945005
2003-11-28,dev,0.12237134805603492,0.15961453275099377,-0.9,-0.04856357480937168
2003-12-01,dev,0.12288990668976103,0.1540316608865142,-0.5,-0.01620452746722667
2003-12-02,dev,0.12309461329883906,0.14820629875759955,-0.7,-0.015471723422501804
2003-12-03,dev,0.12329693959850921,0.14244867339762576,0.3,0.005660975707807769
2003-12-04,dev,0.12593075710615398,0.1334110936000733,-0.3,-0.005434060625915893
2003-12-05,dev,0.12520701712278526,0.12689723674030276,-0.2,-0.0106431227906153
2003-12-08,dev,0.12479230033321147,0.12075857583862887,-0.9,-0.039866860841527685
2003-12-09,dev,0.12438229623442826,0.11468967244720124,-0.7,-0.043317218899317944
2003-12-10,dev,0.12085471263988345,0.11121684943902496,-0.6,-0.033613749930165415
2003-12-11,dev,0.12204841275613879,0.1040377285620267,-0.5,-0.021166739720418493
2003-12-12,dev,0.12171574005917712,0.09821908203374723,-0.9,-0.05202764809529192
2003-12-15,dev,0.12196546742921874,0.09304379083726343,-0.7,-0.05160742878073743
2003-12-16,dev,0.12313324569388234,0.08608406455271134,-0.6,-0.04235033137512856
2003-12-17,dev,0.12091135972853134,0.08269211914308106,-0.1,-0.015447085210621658
2003-12-18,dev,0.12844736322728253,0.07404352832809154,-0.6,-0.026007937694446537
2003-12-19,dev,0.132882129973028,0.06518701156785432,-0.8,-0.07784128179966332
2003-12-22,dev,0.13064357791911974,0.0619630277215416,-0.8,-0.05924688003670542
2003-12-23,dev,0.13262936513460835,0.0562535490778774,-0.6,-0.04722670579689092
2003-12-24,dev,0.13225434179164253,0.05093935897585666,-0.9,-0.052548465331256455
2003-12-25,dev,0.1315508612501976,0.04534925600258083,-0.9,-0.056849875768677616
2003-12-26,dev,0.12979662388908547,0.04087650861632378,-0.9,-0.04835887048162213
2003-12-29,dev,0.13338979955282712,0.0344113690972905,-0.9,-0.044908413895396626
2003-12-30,dev,0.13304046377855402,0.03039176332540242,-0.7,-0.0689701363322382
2003-12-31,dev,0.1380441592797074,0.02681550414141595,-0.7,-0.059500082633781204
2004-01-02,dev,0.14186258332489024,0.020847548161408606,-0.7,-0.06502962491624581
2004-01-05,dev,0.13975676244864513,0.020396443961263888,-0.4,-0.06058718189825907
2004-01-06,dev,0.13493749700019053,0.01926620578710356,-0.4,-0.053056540192123025
2004-01-07,dev,0.13131150173101824,0.01793105043908649,-0.4,-0.04779324698394227
2004-01-08,dev,0.1261328195451304,0.018404045670924178,-0.4,-0.03511577554801065
2004-01-09,dev,0.12405278365998183,0.016868094502312008,-0.4,-0.049095802460526694
2004-01-12,dev,0.12013007793020475,0.013940834903523677,-0.4,-0.032984148661481694
2004-01-13,dev,0.11594356895469513,0.0130125448704202,-0.3,-0.017923794816820104
2004-01-14,dev,0.1109444024977619,0.013500597438781846,-0.7,-0.017512985621454924
2004-01-15,dev,0.10418278683794963,0.01877253196903055,-0.2,-0.036406965814977654
2004-01-16,dev,0.09932300492654854,0.019259598603781777,-0.6,-0.056771237204426284
2004-01-20,dev,0.09451086793584747,0.019741890075447206,-0.2,-0.04914230248193263
2004-01-21,dev,0.08965959540933113,0.020133393050688925,-0.2,-0.05670180768366001
