label,factor,family,ar1,dev_base_r2,dev_full_r2,dev_partial_r2,dev_cond_beta_sd,dev_cond_t_nw,dev_cond_p,val_base_oos_r2,val_full_oos_r2,val_delta_oos_r2,hold_base_oos_r2,hold_full_oos_r2,hold_delta_oos_r2,dev_cond_bh_q
fwd_gold_20,ma_dist_gold_60,trend,0.9671203946124929,0.030730061014132004,0.0980634334870204,0.06946813242071477,-0.014700952033803212,-4.107084346473401,4.006849404499393e-05,-0.005874224259181826,-0.05507534576708761,-0.04920112150790579,0.0973418695101762,0.07260462486203678,-0.024737244648139423,0.0019633562082047025
fwd_gold_20,ma_dist_gold_120,trend,0.9827831741840152,0.030256919008837202,0.09413281287751718,0.06586888333701045,-0.015756757996269757,-3.8958344885095517,9.786120275521301e-05,-0.00565939706847951,-0.02470122473858183,-0.019041827670102318,0.09633896387686902,0.03901315759048685,-0.057325806286382175,0.0023975994675027187
fwd_gold_20,mom_gold_20,momentum,0.9402683731305645,0.028349274466985874,0.06380379143873982,0.03648895229538868,-0.009895837827037061,-3.438715897406213,0.0005844802723045816,0.0010467935925640992,-0.0007031103947028328,-0.001749903987266932,0.09462278941705127,0.08620545093773113,-0.008417338479320136,0.009546511114308166
fwd_gold_20,ma_dist_gold_252,trend,0.9915526252038934,0.030268137781410687,0.0767752444822708,0.04795872809052534,-0.013719632634364503,-2.985836220155875,0.002828040617982267,-0.02131145129426204,0.02676533084075905,0.04807678213502109,0.10023398846967879,0.05917941662882231,-0.04105457184085648,0.022831801640834662
fwd_gold_20,ma_dist_gold_20,trend,0.9129474978801271,0.028309884318818868,0.047929444441677904,0.02019116980427983,-0.007276057260708359,-2.90033493749049,0.0037276410842179038,0.0011683247466708346,0.008134992068583258,0.006966667321912423,0.09457315570692582,0.11270672059461562,0.0181335648876898,0.022831801640834662
fwd_gold_20,mom_gold_60,momentum,0.9773988452733107,0.03079621915315245,0.0702892447118908,0.04074790703378301,-0.011608373138888597,-2.9705045442783375,0.002973110068050392,-0.00606800949680375,0.0007639298823957086,0.006831939379199459,0.09741058097507205,0.0757803364324644,-0.021630244542607646,0.022831801640834662
fwd_gold_20,rel_us_gold_20,relative_strength,0.936404543168376,0.028349274466985874,0.06023784083881034,0.032818960078819986,0.00938883517741232,2.909004961738648,0.003625811054395748,0.0010467935925640992,-0.048957313494618404,-0.0500041070871825,0.09462278941705127,0.05515304699024348,-0.039469742426807786,0.022831801640834662
fwd_gold_20,eff_sp500_60,trend_efficiency,0.9486099134105812,0.03079621915315245,0.05238849693449521,0.022278367261915115,-0.007502087652218065,-3.0576871559369834,0.0022305230631850365,-0.00606800949680375,-0.15648558775931543,-0.15041757826251168,0.09741058097507205,0.09898518296910142,0.0015746019940293676,0.022831801640834662
fwd_gold_20,mom_gold_10,momentum,0.8902822009777386,0.028214209878784535,0.04127470913458764,0.013439689475366794,-0.0058741804887545305,-2.486197013265201,0.012911646385190828,0.001578476206628765,0.006889490029350798,0.005311013822722033,0.09447234315818642,0.11213550589503163,0.017663162736845206,0.06326706728743506
fwd_gold_20,dd_gold_60,drawdown,0.9705609108035093,0.030730061014132004,0.05260246796530088,0.022565857117217144,-0.008247033029104548,-2.495511646345196,0.012577562636098242,-0.005874224259181826,-0.02451854342512183,-0.018644319165940004,0.0973418695101762,0.07076113638059467,-0.026580733129581535,0.06326706728743506
fwd_gold_20,eff_nasdaq_60,trend_efficiency,0.9513594164478254,0.03079621915315245,0.04208048812064291,0.01164282392463509,-0.005460430581898679,-2.3992312384166428,0.01642953573857556,-0.00606800949680375,-0.07320579043320374,-0.0671377809364,0.09741058097507205,0.10424358683318857,0.006833005858116525,0.07318611374456387
fwd_gold_20,rel_us_gold_10,relative_strength,0.8764503416650389,0.028214209878784535,0.04414467561500224,0.016392980735220074,0.00651233054074436,2.1977222185104726,0.027968907221132263,0.001578476206628765,-0.023364677588829874,-0.02494315379545864,0.09447234315818642,0.08837664256127842,-0.006095700596908005,0.11420637115295673
fwd_gold_20,vol_sp500_60,volatility,0.9987334530065197,0.03079621915315245,0.05141323056450742,0.02127211203544907,0.008852454287488988,2.162621951677135,0.030570268469060864,-0.00606800949680375,-0.05559169783131468,-0.04952368833451093,0.09741058097507205,0.09617212361386684,-0.001238457361205203,0.11522639653722941
fwd_gold_20,vol_nasdaq_60,volatility,0.998499119607044,0.03079621915315245,0.04981784750699525,0.019626036061500443,0.008523607196733717,2.1330343579781967,0.032921907821540045,-0.00606800949680375,-0.06358441130143522,-0.05751640180463147,0.09741058097507205,0.09615391813472107,-0.001256662840350975,0.11522667737539016
fwd_gold_20,dd_gold_20,drawdown,0.9293783477650241,0.028309884318818868,0.037294039368410914,0.009245905566605367,-0.00495292949410789,-1.9116136170121207,0.05592577145390847,0.0011683247466708346,0.0026395335589558533,0.0014712088122850187,0.09457315570692582,0.10131529076197676,0.006742135055050946,0.182690853416101
fwd_gold_20,mom_gold_5,momentum,0.7906175409472328,0.028501944212954156,0.032465517628905705,0.004079857280558852,-0.0032062194711829873,-1.808602843548742,0.07051272641770795,0.0008616450525726904,0.006538612361652207,0.005676967309079517,0.09490240869014266,0.11045309818800442,0.015550689497861758,0.2159452246542306
fwd_gold_20,vol_sp500_120,volatility,0.9994852846373694,0.030128861711660404,0.043143157533804044,0.013418582436746903,0.007631944305385916,1.7087823005002867,0.08749128247311128,-0.005294611732798327,-0.00816441574732174,-0.002869804014523414,0.09616967893536499,0.10745413527732062,0.011284456341955629,0.2504864897471536
fwd_gold_20,vol_nasdaq_120,volatility,0.999412747086142,0.030128861711660404,0.04111946294860591,0.011332022165689022,0.0069595154317282385,1.6102130531067695,0.10735135274878012,-0.005294611732798327,-0.011185691561641065,-0.005891079828842738,0.09616967893536499,0.10369797353216537,0.007528294596800378,0.2504864897471536
fwd_gold_20,downvol_sp500_60,downside_vol,0.9973622740609137,0.03079621915315245,0.04592350921129851,0.01560795609456713,0.0074268999127942905,1.636666413974174,0.10170019031535149,-0.00606800949680375,-0.0445483614721911,-0.03848035197538735,0.09741058097507205,0.10091260161391924,0.003502020638847192,0.2504864897471536
fwd_gold_20,vix3m_level,vix_term,0.9855499705337826,0.05627221100966273,0.08128901980735292,0.02650850074517233,0.010980662058379595,1.63627282811567,0.10178250022290382,0.005795189100610165,-0.03568044653482083,-0.041475635635430996,0.09593096097020248,0.10472452402801224,0.008793563057809761,0.2504864897471536
fwd_gold_20,chg_vix_20,vix,0.8994726014951038,0.028349274466985874,0.03884504066791805,0.010801994919701791,-0.005253980524001529,-1.6307498042425874,0.10294312292260217,0.0010467935925640992,-0.10295302085935787,-0.10399981445192197,0.09462278941705127,0.09378909649832023,-0.0008336929187310327,0.2504864897471536
fwd_gold_20,eff_sp500_20,trend_efficiency,0.8467343081100405,0.028349274466985874,0.03211621750392901,0.003876848890198402,-0.003128610328232075,-1.5660143414835632,0.1173452597255949,0.0010467935925640992,-0.00873975448610631,-0.00978654807867041,0.09462278941705127,0.09861470034883779,0.003991910931786524,0.2613598966615523
fwd_gold_20,downvol_nasdaq_60,downside_vol,0.996944698068864,0.03079621915315245,0.04370687845255572,0.013320892421738704,0.00681145639027144,1.5376283225171758,0.1241395183239286,-0.00606800949680375,-0.04999031371498264,-0.04392230421817889,0.09741058097507205,0.10435353840578154,0.0069429574307094954,0.26447114773358704
fwd_gold_20,rel_us_gold_60,relative_strength,0.9773690179122364,0.03079621915315245,0.04123469707347438,0.010770158068513981,0.005598890799005211,1.4523997873121697,0.14639047541976422,-0.00606800949680375,0.022179640942921797,0.028247650439725547,0.09741058097507205,0.06105192213931976,-0.03635865883575229,0.2798935939670807
fwd_gold_20,downvol_sp500_120,downside_vol,0.9989365712336435,0.030128861711660404,0.041192399551226,0.011407224529942082,0.006887950358594449,1.4758616027621443,0.13998104918277324,-0.005294611732798327,-0.0034667081140158373,0.0018279036187824893,0.09616967893536499,0.10768651884504465,0.011516839909679666,0.2798935939670807
fwd_gold_20,chg_vix_10,vix,0.8306069578465388,0.028214209878784535,0.03565719131402301,0.00765907621916356,-0.004391308082819504,-1.4447968070101682,0.14851496822743057,0.001578476206628765,-0.059378684502943146,-0.06095716070957191,0.09447234315818642,0.09317490474074008,-0.0012974384174463394,0.2798935939670807
fwd_gold_20,chg_vix_1,vix,-0.1428699647320261,0.028754908038317595,0.02943209957826709,0.0006972406301500384,-0.0013152226411583853,-1.368681896200875,0.17109873173403484,0.00022620440619569582,-0.0024747116360872567,-0.0027009160422829526,0.09527500385486964,0.09463734642920762,-0.0006376574256620193,0.3105125131469521
fwd_gold_20,real10_z252,real_yield,0.9881633533765743,0.03925593253201165,0.04870045285134428,0.009830422730814642,0.005552444388713491,1.242627432064818,0.21400515636566353,-0.005220509714779276,0.002597356343060464,0.00781786605783974,0.09874560021005863,0.04267647794862295,-0.05606912226143568,0.37255822955306894
fwd_gold_20,rel_us_china_20,relative_strength,0.9406298863859354,0.028349274466985874,0.03387626555244594,0.005688248812275777,0.003910354680468972,1.2252165350673005,0.2204936460620204,0.0010467935925640992,-0.002474792017235883,-0.003521585609799982,0.09462278941705127,0.08107454333430753,-0.013548246082743742,0.37255822955306894
