horizon,factor,family,n_dev,dev_beta,dev_t,dev_p,val_beta,val_t,hold_beta,hold_t,val_ok,hold_ok,dev_bh_q
5,mom_gold_5,momentum,998,-0.00012413294544591136,-0.7584275329764348,0.4481950803617585,-0.00010874082218589743,-0.5928603112068122,3.639338321993497e-05,0.36052376429118704,1,0,0.547793987108816
5,mom_gold_10,momentum,998,-8.051763494687367e-05,-0.46377060783879714,0.6428121036175385,-4.45053677506967e-05,-0.22940109282870436,-8.771758255223878e-05,-0.7017110422675381,1,1,0.7375253555526193
5,mom_gold_20,momentum,998,0.00016843559218697926,0.9444384924461176,0.3449456191122761,-0.00017615967146008497,-0.8919075377270861,-7.580393953657851e-05,-0.6480427494456973,0,0,0.46276409934454427
5,mom_gold_60,momentum,998,-0.00010595160299640993,-0.6042136851242896,0.545701583570332,0.00010059751130823784,0.5042252749555421,-5.9025600100098606e-05,-0.5132704136807009,0,1,0.6533569980161799
5,mom_gold_120,momentum,998,-0.00024811386576088264,-1.1891590253200435,0.23437709498403106,0.00019700805688267824,1.4550865040600278,6.216763818895042e-05,0.6188496868166773,0,0,0.35256725399307237
5,mom_gold_252,momentum,998,-0.00017607003173503464,-0.8983944230931185,0.3689753086300666,8.154023048006893e-05,0.43281189845250606,7.388242731074154e-05,0.7463610960783907,0,0,0.4740120753203776
5,vol_gold_10,volatility,998,-0.0005815737200894191,-3.139877501870817,0.0016901849379258491,0.0002645105502042258,1.5543338862839955,-7.558603421918897e-05,-0.6178207249388102,0,1,0.011017501817590722
5,downvol_gold_10,downside_vol,998,-0.0002685453552606461,-1.4508592630843402,0.14681905338161289,8.35776909982886e-05,0.3597658785512376,-7.762300497466766e-05,-0.8163559546170376,0,1,0.25413623063990526
5,vol_gold_20,volatility,998,-0.0008075047893849955,-4.693642122631277,2.6838338084089804e-06,0.00022553517593888598,1.025696571124418,-0.0001305096295374542,-1.0892696408725133,0,1,0.00047235475027998053
5,downvol_gold_20,downside_vol,998,-0.000579703196621813,-3.367314274281818,0.0007590413409541149,0.00014340105589302936,0.5953462933304831,-8.779420990209765e-05,-0.9019825634136182,0,1,0.006361489333710678
5,vol_gold_60,volatility,998,-0.00036056787259479786,-2.1172539979608573,0.0342382968082034,6.959304974068196e-05,0.3934705353225376,-3.115695728815175e-05,-0.2807890543593585,0,1,0.103895521349031
5,downvol_gold_60,downside_vol,998,-0.00018384262678508497,-1.354642717223049,0.175531416588556,-2.124224334131453e-05,-0.1119681178508204,5.561145164418067e-05,0.5618570755239994,1,0,0.2808502665416896
5,vol_gold_120,volatility,998,-0.0002814611902606335,-1.5274602164192108,0.1266466126831547,8.431863077177145e-05,0.4449260836958942,5.709680352855691e-05,0.5875377679287397,0,0,0.23601590036399556
5,downvol_gold_120,downside_vol,998,-0.00017376546618953133,-1.0085227695927614,0.313203562357026,8.377193933414097e-07,0.004528620815377721,0.00012417648182277158,1.2484494138527096,0,0,0.44816119491737055
5,dd_gold_20,drawdown,998,0.00029408160916892816,1.6841006871979136,0.09216221158906318,-0.00022786261295301195,-1.1545969837795296,1.7019585695595046e-06,0.017362314396219325,0,1,0.1954283040924713
5,dd_gold_60,drawdown,998,0.00045090155156523025,2.9770971241099184,0.0029099181017161104,1.6587830556434113e-05,0.07931834775918739,1.3403459863538523e-05,0.1853637659897689,1,1,0.01652082535167856
5,dd_gold_120,drawdown,998,0.00023844060783881016,1.4969712082637048,0.1344007498929531,9.861641924901829e-05,0.5421328659391439,2.5847631977206493e-05,0.4502671556672565,1,1,0.23920461227131248
5,dd_gold_252,drawdown,998,-0.00030531243176913967,-1.3247252654065433,0.1852622901181206,6.168954311161475e-05,0.37908236884089513,3.5891782302584196e-05,0.5282919286118842,0,0,0.29374921676386684
5,ma_dist_gold_20,trend,998,2.834023395464696e-05,0.15535895279367806,0.87653834212481,-0.00015986184040938834,-0.8507554748305766,-4.3061055461630236e-05,-0.37615987917340227,0,0,0.9074749894939209
5,ma_dist_gold_60,trend,998,0.00015781399138892622,0.9558504098710976,0.33914781596408466,1.483868398946523e-05,0.07626753673930371,-2.331478850366625e-05,-0.20373008523620487,1,0,0.46276409934454427
5,ma_dist_gold_120,trend,998,-0.00018242814916952392,-0.9487472927867538,0.3427491545800738,0.00016818287960204898,0.9318598175664716,-2.4950341127882455e-05,-0.2187240718452932,0,1,0.46276409934454427
5,ma_dist_gold_252,trend,998,-0.00036270829310985865,-1.6939396955325172,0.09027674287579067,5.1906162209118425e-05,0.3941174124225079,2.026847980087942e-05,0.18595427929144973,0,0,0.1937647164163312
5,eff_gold_20,trend_efficiency,998,-5.424763309930943e-05,-0.2947953581816994,0.7681502125821231,3.1786818389119585e-05,0.1613441579911354,-8.781207282478489e-06,-0.08584581980937066,0,1,0.8294137264690409
5,eff_gold_60,trend_efficiency,998,-0.000336224098257701,-1.7161933112589147,0.08612666703027305,0.00014079219791713056,0.7380249893743851,-4.025386520579442e-05,-0.34623305621962347,0,1,0.18713942465837108
5,eff_gold_120,trend_efficiency,998,-0.00026403101819664864,-1.0989335905534432,0.2717970336729147,0.0001624087559559282,0.8890255090846999,5.6165685123657034e-05,0.50459473497291,0,0,0.3986356493869415
5,mom_nasdaq_5,momentum,998,-0.00031081456508823377,-1.8857618712366195,0.05932705115091928,-1.8189928842904167e-05,-0.1537846269253144,6.722686991131068e-05,0.6271049135268788,1,0,0.15226294814967795
5,mom_nasdaq_10,momentum,998,-0.0003024207026179164,-1.6394172839169567,0.10112638445766299,-3.9261536469191785e-05,-0.3090965386271159,-2.9171666075427833e-06,-0.028834833092196293,1,1,0.20949295457901687
5,mom_nasdaq_20,momentum,998,-0.00034211654365846693,-1.8666062042852245,0.06195660054987229,5.0006950156050344e-06,0.04560991649051756,-4.7567357320565355e-05,-0.4199745044250731,0,1,0.15577659566825033
5,mom_nasdaq_60,momentum,998,-0.00014917855696405983,-0.9391658543251797,0.3476455972586979,9.050661424309895e-05,1.2111532988073106,-1.222138666138319e-05,-0.08014209405052422,0,1,0.46276409934454427
5,mom_nasdaq_120,momentum,998,4.1544176535982034e-05,0.24245616920658403,0.808426715635933,4.46627673679172e-05,0.40537931627684254,7.890979562702872e-05,0.7225087801493462,1,1,0.8591402963312971
5,mom_nasdaq_252,momentum,998,-6.58859571079216e-05,-0.3198065014881246,0.749115018779362,0.00010341451899837734,0.8858184365910983,-4.611847988611037e-06,-0.05513211542157137,0,1,0.8138533537356032
5,vol_nasdaq_10,volatility,998,-0.0007012029216791045,-3.4511069015025075,0.0005582923871301426,0.00010084597634182824,0.7901842060066117,8.243511536640221e-05,0.4165774531481737,0,0,0.005639979274364479
5,downvol_nasdaq_10,downside_vol,998,-0.00030082213304952015,-1.4406200134999099,0.1496920631869069,0.00010544515566193307,0.7419228296460031,7.971158917026833e-05,0.6022733695587841,0,0,0.2557844963193749
5,vol_nasdaq_20,volatility,998,-0.0007362068885447107,-3.724668625933236,0.00019557194981578734,-3.0227804612145927e-05,-0.2524277417540503,5.632838302039999e-05,0.2755493416233125,1,0,0.0033093293154203836
5,downvol_nasdaq_20,downside_vol,998,-0.0003823444037186375,-1.7945195382524959,0.07273028292491081,-6.629485495539412e-05,-0.5842838138130727,0.00011830944130890291,0.7030639226991726,1,0,0.1753497232162233
5,vol_nasdaq_60,volatility,998,-0.0007805888205035031,-3.404932600176296,0.0006618038575137409,-0.00011038556081215201,-0.8884856032079229,3.156095991549531e-05,0.19493315634110603,1,0,0.00582387394612092
5,downvol_nasdaq_60,downside_vol,998,-0.0006628909286988642,-2.9833446617356274,0.0028511672373570315,-0.00010872707764457423,-1.0152546483883775,6.650225475327363e-05,0.4498844423447377,1,0,0.01652082535167856
5,vol_nasdaq_120,volatility,998,-0.0007414815692638141,-4.00410259206543,6.225334610553077e-05,-8.631060330557217e-05,-0.532617337251077,1.016730681520347e-05,0.09846538230905742,1,0,0.0031083165922714466
5,downvol_nasdaq_120,downside_vol,998,-0.0006761863934815705,-3.6884367610164297,0.0002256360896877534,-8.584383414258905e-05,-0.59209675802907,2.4225963844130203e-05,0.23982043371389164,1,0,0.0033093293154203836
5,dd_nasdaq_20,drawdown,998,1.2281100363829406e-05,0.06940330772678108,0.94466859608514,-3.515936192884798e-05,-0.3967857347784146,3.1219168160824347e-06,0.025920035646908812,0,1,0.9661564321518419
5,dd_nasdaq_60,drawdown,998,0.00020819778931994366,1.2746203023908684,0.20244366792383003,1.4706472099224335e-05,0.18517362650404515,-4.282955817212726e-05,-0.2662635468394029,1,0,0.3125446101280183
5,dd_nasdaq_120,drawdown,998,0.0005059676935114714,3.442287871398137,0.0005768160621509126,8.817041361581044e-06,0.1175995584163791,-2.5284114958421316e-05,-0.1679369805738775,1,0,0.005639979274364479
5,dd_nasdaq_252,drawdown,998,0.0005787917547946176,3.311772387650427,0.0009270693992653734,9.913095961719871e-06,0.13013349080845688,-1.8839671782842114e-06,-0.016365448156242877,1,0,0.007094096272639378
5,ma_dist_nasdaq_20,trend,998,-0.00032625424415412053,-1.7442063310603635,0.08112311777176841,-7.73607757500605e-05,-0.6388843222702597,1.2535741529552843e-05,0.12468191534393624,1,0,0.1812248166387977
5,ma_dist_nasdaq_60,trend,998,-0.0002346286455155703,-1.3816246971763528,0.16708696672535361,2.2605219807967297e-06,0.027086295165094827,-6.170243842925685e-05,-0.4444576130929756,0,1,0.278264630141452
5,ma_dist_nasdaq_120,trend,998,-2.812917803833215e-05,-0.17436795509320224,0.8615762966364053,-1.8057638100955508e-05,-0.23234594088267246,1.4685541751947157e-05,0.0936915409236025,1,0,0.8972628888047772
5,ma_dist_nasdaq_252,trend,998,1.1790432489425007e-05,0.06309876641232591,0.9496878566037992,-2.2745136702070677e-05,-0.2371217113007027,6.818062396334555e-06,0.05427339045279691,0,1,0.9661564321518419
5,eff_nasdaq_20,trend_efficiency,998,-6.504490277468191e-05,-0.3295449137685319,0.7417438517008375,7.86922556400146e-05,0.5580029348100343,-0.00012683954211994034,-1.470103356112951,0,1,0.8108504217350769
5,eff_nasdaq_60,trend_efficiency,998,-8.24739021574671e-05,-0.3942994210531652,0.6933599906686451,8.891816289932689e-05,0.5522954161496412,9.075064051692683e-05,0.9936242713455861,0,0,0.7723503693524147
