horizon,factor,dev_n,dev_rank_ic,dev_ic_t_nw,dev_ic_p,val_rank_ic,val_ic_t_nw,hold_rank_ic,hold_ic_t_nw,dev_top2_bottom2,dev_spread_t_nw,val_top2_bottom2,val_spread_t_nw,hold_top2_bottom2,hold_spread_t_nw,val_sign_stable,hold_sign_stable,dev_bh_q,selection_score
5,ma_distance_120,3236,0.0826740257670582,4.4349648365174215,9.208731848602591e-06,0.02019592331560416,0.7666170769792395,0.012970695843030235,0.4879150004220677,0.0035296588277984294,3.0788718643585455,0.0002651887904624244,0.19815063390364476,-0.0008559590454008314,-0.6989815269854388,1,1,0.0003315143465496933,6.9349648365174215
5,risk_adjusted_momentum_252_60,3103,0.07840779101659351,4.235606396065476,2.2793574341121154e-05,0.018972001897790608,0.761360362777817,0.07520822774697632,2.9034841659614044,0.003061363836401616,2.6950860062935655,0.0003671052626825397,0.2773566748180428,0.0017204164706115662,1.3929348357621176,1,1,0.0004102843381401808,6.735606396065476
5,ma_distance_252,3104,0.0794898205554043,4.1206192556363055,3.7785542002799336e-05,0.02655939308347826,1.006547930617861,0.03481482256815172,1.3159892610392097,0.003518391971014492,2.9709547813855877,-0.00036410698582676,-0.27141279081725456,1.7378853614223836e-05,0.014523953555862125,1,1,0.00045342650403359204,6.6206192556363055
5,momentum_252,3103,0.07470232535389369,3.9327870084912036,8.396663286237174e-05,0.03513098755871274,1.4280069991510012,0.06149952032963128,2.452492516684328,0.0030266200618721344,2.579326630236813,0.0005889309371003418,0.4443657798100975,0.0011294460455413386,0.9886630007127706,1,1,0.0007556996957613456,6.4327870084912036
5,risk_adjusted_momentum_60_20,3295,0.068943308498327,3.8317713678164163,0.00012722394247929587,0.026511613534866047,1.100770591301756,0.027360515920163652,1.085591502685029,0.0031666224063361457,2.9210405431468063,0.0016481875921486079,1.3232741479044454,-0.00026822586012181104,-0.2307346196812815,1,1,0.0007633436548757752,6.331771367816416
5,momentum_60,3295,0.06849221501201702,3.7046126060796407,0.00021171404255748946,0.008889409176594318,0.3489133919005153,0.02414816796683915,0.91974710106857,0.003331787423009476,2.987021660612285,0.00034757919656158644,0.25886273202279825,-0.00037684558827790735,-0.3181849492411124,1,1,0.0010888150760099459,6.204612606079641
5,drawdown_120,3234,0.0639939155629926,3.6375436581209963,0.0002752505471002631,0.023999196538693406,1.0072945640236974,0.008521613116175978,0.3451856926578676,0.0023726230942895847,2.1694637840670725,0.0022474749584263346,1.8325479182318563,-0.00105429728355578,-0.9448907904151075,1,1,0.0011010021884010524,6.137543658120997
5,near_peak_120,3234,0.0639939155629926,3.6375436581209963,0.0002752505471002631,0.023999196538693406,1.0072945640236974,0.008521613116175978,0.3451856926578676,0.0023726230942895847,2.1694637840670725,0.0022474749584263346,1.8325479182318563,-0.00105429728355578,-0.9448907904151075,1,1,0.0011010021884010524,6.137543658120997
5,momentum_120,3235,0.06433951871796519,3.4328713534868713,0.0005972253986190841,0.02355567950089159,0.8918929805945416,0.010193300192833547,0.3865399201543693,0.003142740236128277,2.733840778360418,-0.0005739178327572545,-0.4108482147437953,-0.0012954906266718982,-1.0950537653742278,1,1,0.0021044709996611236,5.932871353486871
5,risk_adjusted_momentum_120_60,3235,0.06397479689264898,3.4127823315993417,0.0006430328054520101,0.014163985759156545,0.5409238448096686,0.018978065153772528,0.7234474168079004,0.0028902950985659663,2.4831058147172413,-0.0002819875240545767,-0.21598898051151025,-0.0008205219552690482,-0.6801276272807177,1,1,0.0021044709996611236,5.912782331599342
