label,horizon,factor,family,dev_beta_sd,dev_t_nw,dev_p,dev_r2,val_beta_sd,val_t_nw,hold_beta_sd,hold_t_nw,dev_spearman,val_spearman,hold_spearman,val_sign_stable,hold_sign_stable,dev_bh_q,selection_score
ram_excess_5,5,mom_shanghai_252,momentum,0.0006630244390295972,4.170952440215948,3.033291704363632e-05,0.07540929512894712,1.370185043193899e-05,0.2183252783514686,3.195047673880516e-05,0.944645575149421,0.12154968104186767,0.043249874530744546,0.059237763294785854,1,1,0.0026065175631866167,6.670952440215948
ram_excess_5,5,mom_csi300_252,momentum,0.0006307275848068384,4.038540773106508,5.3784745411002073e-05,0.06824164046002013,1.0835681718225345e-05,0.17382110514842553,3.3613924959476895e-05,1.1608890766267708,0.1249894768564525,0.028112291302256072,0.05438982155239985,1,1,0.0026065175631866167,6.538540773106508
ram_excess_5,5,rel_us_china_252,relative_strength,-0.0006310884391147465,-4.032553755144037,5.5173988901066085e-05,0.06831974814038877,-3.620448722243169e-06,-0.05420750715359321,-7.585355164586798e-06,-0.17621583165044474,-0.1031421474374424,-0.005756252919146796,-0.04177818824760784,1,1,0.0026065175631866167,6.532553755144037
ram_excess_5,5,rel_gold_china_252,relative_strength,-0.000654097356820182,-4.015821681560766,5.923903552696856e-05,0.0733923165838597,-1.4538387871510526e-05,-0.248137802476827,1.295280452903126e-05,0.4121878197155381,-0.09595133419317664,-0.02592659766221176,0.035796840282439644,1,0,0.0026065175631866167,6.515821681560766
ram_excess_5,5,dispersion_252,dispersion,0.0006347413359275133,3.940117915919895,8.144156813565183e-05,0.069112940494514,4.940416354823143e-06,0.06933765682267164,-3.5850882026139095e-05,-0.9489697666981064,0.10024358576966196,0.06325955394088538,0.0011538230287676794,1,0,0.0028667431983749442,6.440117915919895
ram_excess_5,5,vol_nasdaq_120,volatility,-0.00025940564621767045,-3.8449829659711643,0.00012056081306950677,0.0120300340499091,-3.4898532811422204e-05,-0.6968921014466064,-1.6373689579024783e-05,-0.44916182193239695,-0.07867209003009684,-0.053781136265375146,-0.04851456900872598,1,1,0.003394730058301092,6.344982965971164
ram_excess_5,5,breadth_120,breadth,0.00029850788434591333,3.7965490921532283,0.00014672431718890005,0.015930141008011822,1.0304218225167313e-05,0.20654873107396401,4.880394940762491e-05,1.338194500286808,0.09004539701436774,0.024978010870711904,0.12160595948272716,1,1,0.003394730058301092,6.296549092153228
ram_excess_5,5,dd_nasdaq_252,drawdown,0.00023911529156221058,3.7523489643803734,0.000175185376745243,0.009811135158491413,1.2208151277516492e-05,0.41398620925367063,1.8232798077636093e-05,0.5898463439461793,0.08575397408292733,-0.001371150137116496,0.017769489346117485,1,1,0.003394730058301092,6.252348964380373
ram_excess_5,5,vol_gold_20,volatility,-0.0002014767646223368,-3.740737024248407,0.00018348142139839474,0.007479517466255969,-1.9063334108108953e-06,-0.03855323473657593,-3.362585131168886e-05,-1.4389506226414024,-0.03413023970527248,0.021390394625898677,-0.07837989850167479,1,1,0.003394730058301092,6.240737024248407
ram_excess_5,5,vol_sp500_120,volatility,-0.00026618236258632073,-3.6982430785874785,0.00021709693925933628,0.012666789637519216,-2.401376971039365e-05,-0.5238878367928218,-1.9661819743711422e-05,-0.5202973149570614,-0.08915883494790307,-0.07241687556342594,-0.054753760358698646,1,1,0.003394730058301092,6.1982430785874785
ram_excess_5,5,breadth_252,breadth,0.0003612282457039734,3.6862241750141482,0.0002276058768034534,0.02238356265911501,3.164197623646598e-05,0.7146968328127633,7.331374835071936e-05,2.3332776558231285,0.12030553410811295,0.025473160183772128,0.07927083147687151,1,1,0.003394730058301092,6.186224175014148
ram_excess_5,5,dd_sp500_252,drawdown,0.00023500429930876864,3.6645474380257297,0.00024777631440924035,0.009476679061615312,1.4237381733102012e-05,0.46814314361909015,1.4702592442872796e-05,0.36189733942279745,0.07332947987413531,0.0530204844044658,0.03284596998218342,1,1,0.003394730058301092,6.16454743802573
ram_excess_5,5,downvol_nasdaq_120,downside_vol,-0.00023606849844811243,-3.6563030755312136,0.0002558788102478679,0.009962861259096956,-3.449952296707056e-05,-0.749342919738468,-1.3226204708887088e-05,-0.35680384756084277,-0.07199296984565239,-0.05583953903198134,-0.03334926252549764,1,1,0.003394730058301092,6.156303075531214
ram_excess_5,5,dd_sp500_120,drawdown,0.00019385255233803758,3.6369298021322565,0.0002759070840384393,0.006720230824872275,1.4038136828379166e-05,0.47685632039530135,9.364972587136953e-06,0.19996646594086334,0.05839623888606919,0.04355723343587029,0.030527606680882172,1,1,0.003394730058301092,6.136929802132256
ram_excess_5,5,dd_nasdaq_120,drawdown,0.00018201735586986372,3.624676314386524,0.0002893235845142976,0.005924705200567981,1.2027417044501354e-05,0.4196043164313327,9.257458172788854e-06,0.23639930087017944,0.0679065754201492,-0.01824289114809395,0.016618085007749778,1,1,0.003394730058301092,6.124676314386524
ram_excess_5,5,real10_level,real_yield,0.0003302443998442456,3.578019142307113,0.0003462081014068887,0.01880405143340591,4.100376353511774e-05,0.6897873479073771,3.604606453277782e-05,1.0505292652107387,0.14670340407764162,0.0025341516691437817,0.011527051242822389,1,1,0.003808289115475776,6.078019142307113
ram_excess_5,5,ma_dist_shanghai_252,trend,0.0005717548759069743,3.5372953698408143,0.000404247302847091,0.056095020583440736,2.3339672329575845e-06,0.0398899304152702,4.080987741525506e-05,1.0977579132936377,0.12258236432354928,0.025244934555837692,0.08315109324579231,1,1,0.0039954527416627235,6.037295369840814
ram_excess_5,5,dd_shanghai_252,drawdown,0.0002691314573195355,3.5329029782166828,0.00041102328247733243,0.012428922613111126,8.062214637550583e-06,0.15482043264034043,2.460315404137968e-05,0.7746336139923498,0.11079058808509709,0.00720994034851682,0.057322961202169245,1,1,0.0039954527416627235,6.032902978216683
ram_excess_5,5,dd_csi300_252,drawdown,0.0002830971302976329,3.520134947995795,0.00043132728461131673,0.013752304881870403,1.9546151580235572e-05,0.3748709027403258,3.5514047193056245e-05,1.2867895011983732,0.11553209162655095,0.010995351138242179,0.07026591781663674,1,1,0.0039954527416627235,6.020134947995794
ram_excess_5,5,downvol_sp500_120,downside_vol,-0.0002427122503814295,-3.4500048254446694,0.000560576533377876,0.010531528348659003,-2.801075208920948e-05,-0.6056087327088772,-2.2235042294073808e-05,-0.559568517167433,-0.06758206665814939,-0.07838002651098559,-0.04620769050481436,1,1,0.0049330734937253085,5.950004825444669
ram_excess_5,5,vol_nasdaq_20,volatility,-0.00021273022334624772,-3.4324925170144027,0.000598060385486795,0.008338386783651286,-2.5533130627898497e-05,-0.683373198525821,-4.93964995881275e-07,-0.0072461866676947805,-0.06029352326692559,0.016183998111482436,-0.03562278561037915,1,1,0.005012315611698854,5.932492517014403
ram_excess_5,5,vol_nasdaq_60,volatility,-0.00021646889116941405,-3.4030371020890477,0.0006664123035961154,0.008531311544537012,-4.375809256606078e-05,-1.004684646271472,-1.9578584758393252e-05,-0.45708425458020036,-0.06974580589893875,-0.029957804543807143,-0.05041570339213454,1,1,0.005331298428768923,5.903037102089048
ram_excess_5,5,ma_dist_csi300_252,trend,0.0005729736650925671,3.3670165134298555,0.000759861381039653,0.056334426930942816,3.4664702935557005e-06,0.06072775841196316,4.372107650828023e-05,1.3156687676082188,0.11691466882803239,0.023515509835142404,0.0873989668650371,1,1,0.005814591437520823,5.8670165134298555
ram_excess_5,5,mom_shanghai_120,momentum,0.0005013992745108554,3.27968063411337,0.0010392465736407288,0.04494438164065251,6.145001734593786e-06,0.11165940705413492,0.00010021463762502419,2.2848707903340633,0.10382433703791553,0.02380203107009443,0.1430436028907337,1,1,0.0073162958784307305,5.779680634113371
ram_excess_5,5,dd_gold_60,drawdown,0.00015508673093965152,3.147052139601201,0.0016492554939648433,0.004380309845275043,4.491383653450465e-05,0.7637633388375917,2.2462596013983064e-05,0.8821291684023072,0.07555354187864075,0.003337950698151323,0.02969935252812009,1,1,0.011164191036069708,5.6470521396012
ram_excess_5,5,vix_level,vix,-0.0002129240088866205,-3.10185759898713,0.0019231044323202964,0.008403286623451023,-3.418958680365007e-05,-0.7796635578307602,-1.3019639048540045e-05,-0.2909367425692187,-0.06712818129863163,-0.03180522108324179,-0.03379913391742774,1,1,0.012503527173392393,5.60185759898713
ram_excess_5,5,vol_sp500_60,volatility,-0.00020177016262072717,-3.086315628181777,0.0020265358109439386,0.007412056218771723,-2.296300138045208e-05,-0.5686245198232247,-2.9720267393681277e-05,-0.6810984499174715,-0.0628764578229682,-0.03221690125473956,-0.05962091427328842,1,1,0.012503527173392393,5.586315628181778
ram_excess_5,5,dd_sp500_60,drawdown,0.00016124489550622785,3.068006998621197,0.0021549157114865458,0.004735081940948738,1.5554510317256135e-05,0.5917347129455655,2.0343430954632507e-06,0.03800620823611648,0.039352670312989134,0.021429771501494648,0.025020390532689313,1,1,0.012503527173392393,5.568006998621197
ram_excess_5,5,downvol_nasdaq_60,downside_vol,-0.0001810880684656772,-3.0614978401153534,0.0022023258089497967,0.005970414584965056,-4.33536006849713e-05,-1.1563668850870472,-5.148635943027601e-06,-0.12301521857352418,-0.054368166597800395,-0.010965517624229495,-0.02115773418511872,1,1,0.012503527173392393,5.561497840115353
ram_excess_5,5,state_target_gross,strategy_state,0.0002779971990493418,3.046514526686264,0.002315112920755882,0.014324542115151218,7.162290623495231e-05,0.8202409288229439,6.061948989245719e-05,1.654053034573873,0.1065891371143195,0.054666775978163454,0.05184865791963197,1,1,0.012514900568020494,5.5465145266862645
ram_excess_5,5,mom_sp500_120,momentum,0.00015576885699974247,3.0424582248782817,0.0023465438565038427,0.004337797493595197,5.405908190949958e-06,0.14494366724893287,4.064074560450198e-05,1.1551987536844976,0.05478374284387996,0.053623703154902884,0.0674063148875508,1,1,0.012514900568020494,5.542458224878281
ram_excess_5,5,mom_csi300_120,momentum,0.0004877199941674992,2.9647329469009707,0.003029457864573355,0.04252547047320576,5.805512248433634e-06,0.1062652964631844,8.211544258388791e-05,2.0210534659015567,0.09762601293335109,0.03399193106363773,0.12374866259607241,1,1,0.015233845261854584,5.464732946900971
ram_excess_5,5,state_cash_ratio,strategy_state,-0.00026534982298212,-2.955847863137754,0.0031181085452287927,0.013050811370512005,-7.745440346572588e-05,-0.8532616705842133,-5.976220849350229e-05,-1.5780191243865789,-0.09596841292152218,-0.06394486673929901,-0.043436778150168796,1,1,0.015244086221118542,5.455847863137754
ram_excess_5,5,vol_sp500_20,volatility,-0.00018821871426991454,-2.940503927843345,0.003276788470518692,0.006527535600418299,-2.3451731233424465e-05,-0.6512424769432478,-1.1810453086788647e-05,-0.16671244882720543,-0.056356339108339336,-0.0059290748095040926,-0.04517969519853732,1,1,0.015586885697602425,5.440503927843345
ram_excess_5,5,downvol_gold_20,downside_vol,-0.00015055981233597182,-2.9169401060804194,0.003534836429746194,0.004176781665329865,-2.6117386657292305e-05,-0.38877295683761565,-2.948502307650644e-05,-1.2966075201274136,-0.024174577121065913,-0.029005793832150746,-0.06549313509286857,1,1,0.016137301449819917,5.416940106080419
ram_excess_5,5,rel_us_china_120,relative_strength,-0.0004490573265216222,-2.8459079820928,0.004428498982083193,0.036050523869683104,-5.107392383551697e-06,-0.0836603086167455,-3.617287552962947e-05,-0.8523178761601958,-0.08043630860606421,-0.019736137781116794,-0.04439875110450686,1,1,0.01948539552116605,5.3459079820928
