rule,split,horizon,n,mean_edge,t,p,base_trade_win
gap_ge_05,holdout,20,1,nan,nan,nan,1.0
gap_ge_05,holdout,60,1,nan,nan,nan,1.0
large_sale_15,all,5,45,-0.0029802398992906667,-2.164150312725313,0.030452815210267648,0.35555555555555557
large_sale_15,all,20,45,-0.0012104883383251047,-0.38698356450646515,0.6987683754782417,0.4222222222222222
large_sale_15,all,60,44,-0.001591967191468248,-0.41727296861924634,0.6764787580683657,0.45454545454545453
large_sale_15,dev,5,20,nan,nan,nan,0.45
large_sale_15,dev,20,20,nan,nan,nan,0.55
large_sale_15,dev,60,20,nan,nan,nan,0.5
large_sale_15,validation,5,15,nan,nan,nan,0.26666666666666666
large_sale_15,validation,20,15,nan,nan,nan,0.3333333333333333
large_sale_15,validation,60,15,nan,nan,nan,0.4666666666666667
large_sale_15,holdout,5,10,nan,nan,nan,0.3
large_sale_15,holdout,20,10,nan,nan,nan,0.3
large_sale_15,holdout,60,9,nan,nan,nan,0.3333333333333333
dual_positive_large,all,5,33,nan,nan,nan,0.3333333333333333
dual_positive_large,all,20,33,nan,nan,nan,0.42424242424242425
dual_positive_large,all,60,33,nan,nan,nan,0.42424242424242425
dual_positive_large,dev,5,15,nan,nan,nan,0.4
dual_positive_large,dev,20,15,nan,nan,nan,0.4666666666666667
dual_positive_large,dev,60,15,nan,nan,nan,0.5333333333333333
dual_positive_large,validation,5,9,nan,nan,nan,0.3333333333333333
dual_positive_large,validation,20,9,nan,nan,nan,0.4444444444444444
dual_positive_large,validation,60,9,nan,nan,nan,0.3333333333333333
dual_positive_large,holdout,5,9,nan,nan,nan,0.2222222222222222
dual_positive_large,holdout,20,9,nan,nan,nan,0.3333333333333333
dual_positive_large,holdout,60,9,nan,nan,nan,0.3333333333333333
