event_type,horizon,factor,n,beta_sd,t,p,r2,spearman
all_derisk,20,mom_nasdaq_20,78,0.0001319807957329692,0.09049449953332968,0.9278942647572614,5.7570455492594874e-05,-0.02740297677006538
all_derisk,20,mom_nasdaq_60,78,-0.0022852138697406574,-1.3271872352584022,0.18444675383640707,0.01725964596917684,-0.07735302672011533
all_derisk,20,dd_nasdaq_60,78,-0.0007500309567552273,-0.4765122197459172,0.6337095037813699,0.0018592447262351097,-0.07750101047057928
all_derisk,20,vol_nasdaq_20,78,-0.0014747394346009096,-1.122070258523595,0.2618325682830603,0.007188011571194197,-0.1137470124811897
all_derisk,20,mom_gold_20,78,-0.0009933684834034751,-0.48632745562396434,0.6267350159671533,0.003261361459319545,0.0007966716827476321
all_derisk,20,mom_gold_60,78,0.004523978257124633,2.804302411088334,0.0050425584317512285,0.0676424296437087,0.2296058372007739
all_derisk,20,breadth_20,78,-0.001530819252788716,-0.871351951930281,0.3835620120937385,0.007745081852376545,-0.0428556106606557
all_derisk,20,rel_us_gold_20,78,0.000768675086879735,0.4693765680071761,0.6388004941910843,0.0019528270935638137,0.020498488852919234
all_derisk,20,vix_level,78,-0.0008296428383038667,-0.6266889562745372,0.5308631444289137,0.002274890608692126,-0.021750539021786974
all_derisk,20,chg_vix_5,78,6.384276462111716e-05,0.033923741227958784,0.9729379613192803,1.3471053197156024e-05,0.07105642530728243
all_derisk,20,vix_term_ratio,65,0.001121609453367221,0.8073844815155542,0.4194450048322696,0.0037738720497211276,0.1553758741258741
all_derisk,20,chg_real10_20,77,-0.003668892189231538,-2.4257733673299633,0.015275806297991633,0.04532976222961749,-0.24219553208827677
all_derisk,60,mom_nasdaq_20,77,0.00019104040206986702,0.08488490105832949,0.9323528956688392,7.394233614987922e-05,-0.0032336084967663917
all_derisk,60,mom_nasdaq_60,77,-0.0005421018023928099,-0.25600694218237857,0.7979454768218729,0.0005953939580016776,-0.06640727693359272
all_derisk,60,dd_nasdaq_60,77,0.0005137494042630081,0.24705988192321712,0.8048618810194731,0.0005347433386762024,-0.04609677413324441
all_derisk,60,vol_nasdaq_20,77,-0.0022017512549082907,-1.2503559216667868,0.21116955872088433,0.009821531769245162,-0.004837267995162732
all_derisk,60,mom_gold_20,77,-0.001480205792048782,-0.6103330836737693,0.541641185578984,0.00443901813448544,-0.014327777485672223
all_derisk,60,mom_gold_60,77,0.0015550883184886819,0.7894454521643792,0.42985169938928586,0.004899512147733098,0.05844155844155844
all_derisk,60,breadth_20,77,2.2564010819153288e-05,0.008908626952116373,0.9928920381160262,1.031514457405791e-06,0.01599417544325076
all_derisk,60,rel_us_gold_20,77,0.0011223739094700083,0.5142050722100235,0.6071086219001818,0.0025522184618379518,0.017982017982017984
all_derisk,60,vix_level,77,-0.0017637744207140993,-0.9871309215262711,0.32357846077967073,0.0063027314158629055,0.037712535574027976
all_derisk,60,chg_vix_5,77,0.004808030778962918,2.161602736640794,0.0306488103462418,0.046835719790053854,0.2714820900661756
all_derisk,60,vix_term_ratio,64,0.0018316196691370633,0.6725500841626564,0.5012335668277039,0.0061568560994792465,0.1453754578754579
all_derisk,60,chg_real10_20,76,-0.0018720776889662668,-0.733324253101773,0.46336068610318204,0.007122815131591298,-0.029690921536185244
us_derisk,20,mom_nasdaq_20,48,0.00048564501193410875,0.29740475346282474,0.7661575150423646,0.0006871615085927152,-0.06643508467216674
us_derisk,20,mom_nasdaq_60,48,0.00217306955039608,0.9359102406081081,0.3493194041412228,0.013758408894289587,0.10779418150238819
us_derisk,20,dd_nasdaq_60,48,-0.00021340621841367137,-0.10325886100734409,0.9177575251915681,0.00013268905460495084,-0.05163989291915806
us_derisk,20,vol_nasdaq_20,48,0.0008618935565230228,0.36338146507115715,0.7163199455976761,0.002164353662998275,-0.0528658271819366
us_derisk,20,mom_gold_20,48,-0.00025499338515868946,-0.08373253947434522,0.9332690852222054,0.00018944309854762587,0.14524533217542335
us_derisk,20,mom_gold_60,48,0.004497393415669791,1.8584506574247852,0.06310504422993622,0.058930851868248646,0.23284845853234912
us_derisk,20,breadth_20,48,-0.0026129568512465984,-1.0452735829176665,0.29589654342376326,0.01989231994742524,-0.10685170305187283
us_derisk,20,rel_us_gold_20,48,0.0004265667148704215,0.17248411258708146,0.8630569504949241,0.0005301452666126583,-0.15425531914893617
us_derisk,20,vix_level,48,0.0012262251065889424,0.6270500999766266,0.5306263951024194,0.004380880102604956,0.05036908380373426
us_derisk,20,chg_vix_5,48,-0.00015087245321007795,-0.057040943326238845,0.9545125801591237,6.631944204171791e-05,0.1455709943551889
us_derisk,20,vix_term_ratio,42,0.0018994105202945718,1.430161332158924,0.15267072061661882,0.009286311972330319,0.28304027226318773
us_derisk,20,chg_real10_20,48,-0.003991004633077176,-2.0846603670897297,0.03710014062671715,0.04640720615587046,-0.1873201211775225
us_derisk,60,mom_nasdaq_20,47,-0.001884862195515681,-0.528707065090937,0.5970086753519532,0.005280367644427408,-0.10453283996299723
us_derisk,60,mom_nasdaq_60,47,0.0018035769361984947,0.5699303828818165,0.5687249167442461,0.004834753087133992,-0.003122109158186864
us_derisk,60,dd_nasdaq_60,47,-4.095351523996718e-05,-0.01320522232736262,0.9894640631896682,2.49279935726765e-06,-0.08838411266874059
us_derisk,60,vol_nasdaq_20,47,-9.922110618076275e-05,-0.02844268355941199,0.9773090814015694,1.463231636489315e-05,0.0933163737280296
us_derisk,60,mom_gold_20,47,-0.002737092160970189,-0.68980281231654,0.49031819988427744,0.0111348352356192,0.0064754856614246065
us_derisk,60,mom_gold_60,47,0.002616147641083617,0.929796355517039,0.35247653366512355,0.010172541083525277,0.14766419981498613
us_derisk,60,breadth_20,47,-0.002126531914699224,-0.5541069919825639,0.5795056252730633,0.006721230094052566,-0.07208404286421646
us_derisk,60,rel_us_gold_20,47,0.0007846837590225318,0.19427190389280063,0.8459629839561187,0.0009151542084223641,-0.07111470860314524
us_derisk,60,vix_level,47,0.0005808644672887952,0.18799482952389657,0.8508807043608884,0.0005014811054575574,0.12268732654949122
us_derisk,60,chg_vix_5,47,0.0059266065906208275,1.9414505978531023,0.052203646119253655,0.05220560735540192,0.3190333024976873
us_derisk,60,vix_term_ratio,41,0.0030188193138199248,0.9031334163133812,0.3664550907359922,0.012379046682472472,0.12613240418118468
us_derisk,60,chg_real10_20,47,-0.004352503867023113,-1.1281099066111169,0.2592735058584304,0.028156799264846488,-0.0649922185030365
non_us_derisk,20,mom_nasdaq_20,30,-0.0005609044792033703,-0.26090982872393714,0.7941620450801586,0.0012754543631049442,0.0033370411568409346
non_us_derisk,20,mom_nasdaq_60,30,-0.006248814519079776,-2.780065674742113,0.005434790591401348,0.15830053229952123,-0.2378197997775306
non_us_derisk,20,dd_nasdaq_60,30,-0.0017046823234028818,-0.7873286735022215,0.4310894886452878,0.011780779381380002,-0.11527341919755427
non_us_derisk,20,vol_nasdaq_20,30,-0.0032121836730243302,-2.0027843499026132,0.04520044038795398,0.041829998413414726,-0.307230255839822
non_us_derisk,20,mom_gold_20,30,-0.0019141600030475388,-0.6318880242682585,0.527460049323498,0.014854005555461791,-0.23159065628476083
non_us_derisk,20,mom_gold_60,30,0.005758314649218334,2.338793794449828,0.01934610804515142,0.13442433348325167,0.2978865406006674
non_us_derisk,20,breadth_20,30,-0.0002564148433281341,-0.11480510256577435,0.9085996045394658,0.0002665467744825678,0.05548895234861912
non_us_derisk,20,rel_us_gold_20,30,0.0009898123186093755,0.4488236864536177,0.653558850409051,0.003971849796505333,0.19021134593993325
non_us_derisk,20,vix_level,30,-0.002793023432344283,-1.5723234042831418,0.11587556790043076,0.03162541738968827,-0.12103682353237254
non_us_derisk,20,chg_vix_5,30,0.0002607825686803862,0.10521270943566624,0.9162070260262555,0.00027570473511162596,-0.0456113029855448
non_us_derisk,20,vix_term_ratio,23,0.00012436446181216744,0.04228698787730338,0.9662699181781144,6.330630363660106e-05,-0.043478260869565216
non_us_derisk,20,chg_real10_20,29,-0.0033296303837840285,-1.4474606200299425,0.14776795814415766,0.048226812612952585,-0.32130099521088
non_us_derisk,60,mom_nasdaq_20,30,0.0019381284149096545,0.8241043995833687,0.4098802405237257,0.017068205156351768,0.06117908787541713
non_us_derisk,60,mom_nasdaq_60,30,-0.0025364347653597107,-0.9094372365065052,0.36311937378320536,0.029232782216029318,-0.185761957730812
non_us_derisk,60,dd_nasdaq_60,30,0.00026435162105655077,0.10457120495325048,0.9167160645202932,0.00031753142516610655,-0.13400256274222458
non_us_derisk,60,vol_nasdaq_20,30,-0.003191284067341058,-1.8145553809778345,0.06959226467126073,0.04627577328776655,-0.09721913236929922
non_us_derisk,60,mom_gold_20,30,0.0010631621899281965,0.42024805758822925,0.6743042507824788,0.005135962012546069,0.060289210233592884
non_us_derisk,60,mom_gold_60,30,0.0017453918449441292,0.5232253356947039,0.6008174524048427,0.013842312250622824,0.18665183537263627
non_us_derisk,60,breadth_20,30,0.002321050530979643,0.8978088656081858,0.36928745734414764,0.024478902792033908,0.14608316026473198
non_us_derisk,60,rel_us_gold_20,30,0.0005318615797312679,0.2246458174286458,0.8222548185836233,0.0012853458364742165,-0.004226918798665183
non_us_derisk,60,vix_level,30,-0.0033729341574437028,-1.897400727209307,0.05777506973690832,0.05169380303236082,0.0026699299308611587
non_us_derisk,60,chg_vix_5,30,0.002446915292989546,0.9556264828121245,0.3392609769011749,0.027205745262629977,0.15263099438089625
non_us_derisk,60,vix_term_ratio,23,0.0002255327812656377,0.065305180109687,0.9479310180198663,0.00023168294150921476,0.2490118577075099
non_us_derisk,60,chg_real10_20,29,0.0013141863951027456,0.6392226814077229,0.5226780789414113,0.008261561711470522,-0.00665270465544
