horizon,factor,dev_n,dev_factor_beta,dev_factor_t_nw,dev_factor_p,val_factor_beta,val_factor_t_nw,hold_factor_beta,hold_factor_t_nw,dev_weight_beta,dev_weight_t_nw,val_sign_stable,hold_sign_stable,overlap_n,mean_rank_corr_with_target,top1_match_rate,top2_mean_overlap,dev_bh_q,score
5,ma_distance_60,2801,0.08788497142316845,3.7266694797295683,0.0001940266234671188,0.006673904995036208,0.198298354886027,0.003939964656703563,0.11335529202043883,0.052310420012835146,2.445038976051422,1,1,6336,0.23874996008560723,0.3715277777777778,0.4845328282828283,0.0037455981513933806,7.226669479729568
5,momentum_60,2807,0.08220574959460675,3.50281517201861,0.00046036878802417066,0.012753103664437054,0.38358947727197235,0.009176470565147655,0.2633480020821145,0.07268293973709829,3.4364496631729584,1,1,6335,0.29369768012392655,0.4107340173638516,0.5029202841357537,0.0037455981513933806,7.00281517201861
5,risk_adjusted_momentum_60_20,2801,0.08171909674983911,3.470122024330979,0.0005202219654713028,0.047243126413185024,1.490247773451343,0.011212711720405515,0.34516604649085164,0.08415369035194513,3.8967995770860386,1,1,6335,0.30363749369140514,0.40868192580899765,0.5142067876874507,0.0037455981513933806,6.970122024330979
5,ma_distance_20,2799,0.06652728616750044,3.0412155390467817,0.00235625091867519,0.031565877151300145,1.037431906667151,0.005718154460064571,0.18593101828516542,0.05845812891104288,2.803697455448761,1,1,6376,0.11214610527103315,0.31304893350062735,0.4413425345043915,0.01413750551205114,6.541215539046782
5,risk_adjusted_momentum_252_60,2706,0.0675206783334369,2.6949666929926153,0.007039566742839295,0.0489514208227541,1.475124282306542,0.04404731224938576,1.3599468877185132,0.0532721094916859,2.226153934917846,1,1,6143,0.4375207943521637,0.5072440175809865,0.577160996255901,0.036203486106030656,6.194966692992615
5,efficiency_60,2799,0.07805681138919562,3.6101893161051635,0.0003059735992341062,0.03732624276652165,1.2643700066138401,-0.0025916987055691777,-0.08775212764217605,0.048310829010495694,2.310113719092106,1,0,6335,0.07708742635345273,0.2912391475927388,0.3963693764798737,0.0037455981513933806,6.1101893161051635
5,ma_distance_120,2800,0.08805961824458629,3.585815717635834,0.0003360261953564486,0.03200919540484202,0.8838972437897781,-0.01353069462371097,-0.3888600800917678,0.07362250402088598,3.332902423522741,1,0,6276,0.36886278184163596,0.4545889101338432,0.5352135117909497,0.0037455981513933806,6.085815717635834
5,risk_adjusted_momentum_20_20,2795,0.055280277657748504,2.5634682835435902,0.010363216875799221,0.0037830838743637294,0.12401132520430606,0.042706830667677644,1.4321919406762889,0.054854008874742836,2.609947553606506,1,1,6375,0.16459787643670132,0.32454901960784316,0.46619607843137256,0.04363379414224163,6.063468283543591
5,drawdown_252,2703,0.05401207869990011,2.4606927044153917,0.013866908057947278,0.008500209496219062,0.25583885724808586,0.03241909411597814,1.1435385456722529,0.04742228526938901,2.350735244880777,1,1,6144,0.38205315222865954,0.4485677083333333,0.5343424479166666,0.04363379414224163,5.960692704415392
5,near_peak_252,2703,0.05401207869990011,2.4606927044153917,0.013866908057947278,0.008500209496219062,0.25583885724808586,0.03241909411597814,1.1435385456722529,0.04742228526938901,2.350735244880777,1,1,6144,0.38205315222865954,0.4485677083333333,0.5343424479166666,0.04363379414224163,5.960692704415392
5,momentum_20,2798,0.054930880213638345,2.439250634163687,0.01471775652892798,0.012931216856754708,0.42367753649075834,0.04456375332990632,1.4072001449144642,0.05418393308912867,2.569005696484668,1,1,6375,0.14068647781483384,0.31654901960784315,0.4472156862745098,0.04363379414224163,5.939250634163686
5,momentum_252,2700,0.06010630502986229,2.397101162882119,0.01652536055570628,0.01603800060228688,0.4544661226647374,0.04233639250231112,1.1313790757225397,0.0611499812063535,2.6215055679102144,1,1,6143,0.46124639852727406,0.5132671333224809,0.5958814911281133,0.04363379414224163,5.8971011628821195
5,drawdown_120,2789,0.0503054350399419,2.3523657450431488,0.01865442248833496,0.005299383257007392,0.16201899711508475,0.005129441063450869,0.1671390329956122,0.06573520523952298,3.2288845091589042,1,1,6276,0.29526623996362755,0.4181007010834927,0.5086042065009561,0.04363379414224163,5.852365745043149
5,near_peak_120,2789,0.0503054350399419,2.3523657450431488,0.01865442248833496,0.005299383257007392,0.16201899711508475,0.005129441063450869,0.1671390329956122,0.06573520523952298,3.2288845091589042,1,1,6276,0.29526623996362755,0.4181007010834927,0.5086042065009561,0.04363379414224163,5.852365745043149
5,efficiency_20,2784,0.04617806049630101,2.3139513352130763,0.020670391723996893,0.029618321170358227,1.0762133896028103,0.03964090954953729,1.501965729141181,0.06768897366974619,3.3322026165100915,1,1,6375,-0.026337447868475812,0.2307450980392157,0.37545098039215685,0.04377259423905225,5.813951335213076
5,ma_distance_252,2702,0.060403415868686396,2.3378930403621196,0.019392797396551836,0.021660032421166014,0.5925530782761324,-0.023032934115014538,-0.6553691206503672,0.05427631658310526,2.390212876178123,1,0,6144,0.4733143220468001,0.5320638020833334,0.5933430989583334,0.04363379414224163,4.83789304036212
5,volatility_120,2808,0.04287666046950712,2.1403704205608536,0.03232484302927441,0.08554782774954307,2.916056872094233,0.005096684326860899,0.1630853630730962,0.05521813481443055,2.9332609160288476,1,1,6275,-0.11932305122873309,0.08637450199203187,0.34868525896414343,0.05541401662161327,4.640370420560854
5,low_vol_120,2808,-0.04287666046950712,-2.1403704205608536,0.03232484302927441,-0.08554782774954307,-2.916056872094233,-0.005096684326860899,-0.1630853630730962,0.05521813481443055,2.9332609160288476,1,1,6275,0.11932305122873309,0.32541832669322707,0.4269322709163347,0.05541401662161327,4.640370420560854
5,efficiency_120,2781,0.05727588102903625,2.4687339059858178,0.013559200365605588,-0.004594383219836348,-0.14873716458942787,7.50723009350724e-06,0.00023620376049309782,0.055661272447827065,2.644974713389592,0,1,6275,0.14957303921549134,0.3282868525896414,0.40908366533864543,0.04363379414224163,4.468733905985818
5,drawdown_20,2750,0.0325694706085927,1.5916101105025233,0.11147233691316827,0.002704749031146463,0.09249119541428465,0.001501857689052107,0.04977983960983423,0.041629959318876225,2.0528911661596956,1,1,6376,0.09588118696673395,0.3378293601003764,0.45647741530740277,0.1383794527197951,4.091610110502524
5,near_peak_20,2750,0.0325694706085927,1.5916101105025233,0.11147233691316827,0.002704749031146463,0.09249119541428465,0.001501857689052107,0.04977983960983423,0.041629959318876225,2.0528911661596956,1,1,6376,0.09588118696673395,0.3378293601003764,0.45647741530740277,0.1383794527197951,4.091610110502524
5,volatility_10,2797,0.04680849130136608,2.240560757821067,0.025054541032485875,0.05767496227365888,1.920420416507419,-0.01626500683934319,-0.5178557284657458,0.04319806165612594,2.1678234762695774,1,0,6385,-0.03309412271861025,0.17494126859827722,0.36836335160532496,0.05010908206497175,3.740560757821067
5,momentum_10,2793,0.04635771698865297,2.144829538086604,0.031966478592728734,0.05767502866898752,1.977936942796335,-0.0018696040538670922,-0.0648860639736879,0.06758606273479802,3.395885962174949,1,0,6385,0.0989116858044381,0.3054032889584965,0.43633516053249805,0.05541401662161327,3.644829538086604
5,downside_vol_120,2780,0.02285165755048602,1.0871526252983992,0.27696936370742786,0.11474260195048125,3.7537522815048723,0.017616455248787636,0.6063561828880093,0.04243812832680509,2.214770569406004,1,1,6275,-0.168099973964899,0.10310756972111554,0.33155378486055775,0.33236323644891347,3.5871526252983994
