label,horizon,factor,family,n_full,beta_full_sd,t_full_nw,r2_full,dev_beta_sd,dev_t_nw,dev_p,dev_r2,dev_rank_ic,dev_q5_q1,dev_quintile_mono,val_beta_sd,val_t_nw,hold_beta_sd,hold_t_nw,sign_stable_val,sign_stable_hold,dev_bh_q,selection_score
fwd_china_20,20,state_target_shanghai,strategy_state,6375,0.022772181589916344,5.790872585434098,0.10923153075616054,0.031215667259642643,5.6847145639967405,1.31031320423791e-08,0.15666391965384963,0.34351328150501254,0.06883582896046564,0.7534118936785927,0.012898444169829841,1.619961164876025,-8.222778433103075e-07,-0.00043316490519362594,1,0,2.384770031712996e-06,8.561420510836037
fwd_china_20,20,eff_shanghai_120,trend_efficiency,6255,0.01593678674992519,4.247867656016802,0.053611470860571164,0.02423650678913231,4.873699881032098,1.0952734133451457e-06,0.09387859655410302,0.25949643837235437,0.07021234304977773,0.7754289949316454,0.0018001249137949706,0.19673783622572846,0.006420056578227406,1.8665067517451819,1,1,9.966988061440827e-05,7.761414378497921
fwd_china_20,20,eff_csi300_120,trend_efficiency,6255,0.015505250083701154,4.304058215105178,0.05074739462337563,0.02276144358017204,4.525332411206303,6.030064995518567e-06,0.08279920049426848,0.2588258912664152,0.07352263399756606,0.7727984752333935,0.003726917889077497,0.4465596383281324,0.004919301452410757,1.517929942440827,1,1,0.00036582394306145975,7.411731648823
fwd_china_20,20,state_target_gross,strategy_state,6375,0.013021091535047404,3.878878331570106,0.035713591521779775,0.021410843488344853,4.0632034558659615,4.8403804463516015e-05,0.07370404041919942,0.2849597522610933,0.06633762913284683,0.8026657738697415,0.0052390629365351785,0.7760769338275304,0.002881119553262998,0.7356582522626814,1,1,0.0017114687151778146,6.964536342800832
fwd_china_20,20,ma_dist_csi300_120,trend,6256,0.013978181584141052,3.330340917626125,0.041249147575389444,0.023020884120189544,3.995931746993975,6.444029924387431e-05,0.08471961397640115,0.2294471450418778,0.0631168181782228,0.8961593288393394,0.0005005615719285343,0.05888834480422536,-0.005974439554813111,-1.341818031418524,1,0,0.0017114687151778146,6.944011411413644
fwd_china_20,20,state_cash_ratio,strategy_state,6375,-0.0133766841110751,-3.9930769307682508,0.037690828672987564,-0.021070087154991268,-3.990890316682563,6.582571981453133e-05,0.07137669041023276,-0.2620382265149987,-0.043651972734220626,-0.8743898736029357,-0.007098749982543344,-1.1038790885469116,-0.0031694870337689797,-0.8008866721848388,1,1,0.0017114687151778146,6.928085253484031
fwd_china_20,20,state_actual_gross,strategy_state,6375,0.0133766841110751,3.993076930768251,0.037690828672987564,0.021070087154991268,3.990890316682563,6.582571981453133e-05,0.07137669041023276,0.2620382265149987,0.043651972734220626,0.8743898736029357,0.007098749982543344,1.1038790885469116,0.00316948703376898,0.8008866721848387,1,1,0.0017114687151778146,6.928085253484031
fwd_china_20,20,rel_us_china_120,relative_strength,6255,-0.013380401870932469,-3.385642337659684,0.03779153344956221,-0.019794419326299464,-3.78089834603138,0.00015626347401713378,0.06261985686524307,-0.1441333624174985,-0.04703683995724694,-0.7081567363175527,-0.004835036506518851,-0.5178458576020103,0.004189491744760517,1.1575824068741631,1,0,0.0031599946967909276,6.634976714190157
fwd_china_20,20,mom_shanghai_120,momentum,6255,0.013350260445381314,3.038029729899819,0.03762146266784838,0.02140903493630319,3.646804742665382,0.00026552153394283326,0.07325220801746501,0.19865569063522537,0.05520899644366656,0.8025287591122093,0.0011022818093346495,0.11152416129848619,-0.005558856717952289,-1.1762160994175048,1,0,0.004832491917759566,6.548069122221487
fwd_china_20,20,mom_csi300_120,momentum,6255,0.013710989366299301,3.3087606762454818,0.03968202147141153,0.020589708873478062,3.577777981808595,0.0003465275983083026,0.0677527535703184,0.18378971845915923,0.04910933251530043,0.813712195460488,0.003914327277155835,0.44055075736081284,-0.005374055612734623,-1.3073111933567645,1,0,0.004851386376316236,6.484634079538838
fwd_china_20,20,state_target_csi300,strategy_state,6375,0.011606568073074896,3.7623819736052417,0.02837568726556794,0.016007781217858112,3.6009931430937825,0.00031700393831639567,0.04119893814990905,0.24303828697403398,0.05045273586535346,0.723467003321342,0.005519423200523086,1.0827357410943172,0.006298164185079484,2.433934250916225,1,1,0.004851386376316236,6.462726644754454
fwd_china_20,20,ma_dist_csi300_60,trend,6316,0.011159537392148722,3.071952104192215,0.02613733756200587,0.01828380529700008,3.5254565280433554,0.0004227535557476733,0.05322685028696694,0.19310486957032955,0.05469648582183573,0.8535535823265261,0.0016064346235684967,0.23680436851532727,-0.0030160366488357297,-0.80934373478954,1,0,0.005495796224719753,6.452233319206618
fwd_china_20,20,dispersion_120,dispersion,6255,0.01118967030654158,2.959798458358517,0.026429611602080683,0.014349903430420672,2.867145776595106,0.004141921792094252,0.03290974333041263,0.13088169739880393,0.021505634042532192,0.9343250888837953,0.006227580541716117,0.689253257964003,0.0038130298653785144,1.1691872858943746,1,1,0.031409573590048076,5.834308321037003
fwd_china_20,20,eff_shanghai_20,trend_efficiency,6355,0.010380025234040744,3.576956821240572,0.02272841082895427,0.012823353477146849,2.8537891707447622,0.004320119082920248,0.02644624678887375,0.12860746949571647,0.03500584266427021,0.7845622879776726,0.005867383272802429,1.0605349930522012,0.007884096106792582,2.4024203619664832,1,1,0.0314504669236594,5.746070314733599
fwd_china_20,20,rel_gold_china_20,relative_strength,6355,-0.007193462819558154,-2.193782593888058,0.010915616240014137,-0.012949024872851704,-2.7452515429004274,0.006046453248244358,0.026967143668022886,-0.13161651654502254,-0.03363371927291498,-0.8978536222748847,-0.0013490460569296897,-0.21930573018746857,0.004226323255716509,1.333152367028228,1,0,0.039301946113588324,5.69417835403787
fwd_china_20,20,state_target_sp500,strategy_state,6375,0.007646746841821996,3.148585930232483,0.012316637739446357,0.009305126186015195,2.776314655384612,0.00549789718131222,0.013920930861264003,0.1330715707733545,0.00862233949908929,0.521634233677011,0.005712871610111468,1.3919050210451978,0.003914783182411065,0.6793988671718594,1,1,0.037059899518474965,5.537131772223117
fwd_china_20,20,ma_dist_shanghai_120,trend,6256,0.01306609377805977,2.924145343189683,0.036041691430406475,0.022867016321182834,3.833051400029209,0.000126563495481076,0.0835908948102072,0.23653314959420838,0.0673107517259949,0.9090211803857083,-0.0015898535775437448,-0.17172401833357234,-0.007871413722101919,-1.5281339590314538,0,0,0.002879319522194479,5.287561990222064
fwd_china_20,20,rel_gold_china_120,relative_strength,6255,-0.011281968106917348,-2.619854915716876,0.02686741818657823,-0.02068859262152821,-3.57997496686337,0.0003436271251471361,0.06840509246956006,-0.16896310696802544,-0.0590918252607055,-0.7628045335563988,0.0018547585912257157,0.19300102878713035,0.010150391593256865,2.4065395703748487,0,0,0.004851386376316236,4.961377233641569
